#Sample	Group
HLFD1.1	Grassland
HLFD1.2	Grassland
HLFD1.3	Grassland
HLFD2.1	Grassland
HLFD2.2	Grassland
HLFD2.3	Grassland
HLFD3.1	Grassland
HLFD3.2	Grassland
HLFD3.3	Grassland
HLFD4.1	Grassland
HLFD4.3	Grassland
HLFD5.1	Grassland
HLFD5.2	Grassland
HLFD5.3	Grassland
HLFD6.1	Grassland
HLFD6.2	Grassland
HLFD6.3	Grassland
HLMD1.1	Mobile
HLMD1.2	Mobile
HLMD1.3	Mobile
HLMD2.1	Mobile
HLMD2.2	Mobile
HLMD2.3	Mobile
HLMD3.1	Mobile
HLMD3.2	Mobile
HLMD3.3	Mobile
HLMD4.1	Mobile
HLMD4.2	Mobile
HLMD4.3	Mobile
HLMD5.1	Mobile
HLMD5.2	Mobile
HLMD5.3	Mobile
HSFD1.1	Grassland
HSFD1.2	Grassland
HSFD1.3	Grassland
HSFD2.1	Grassland
HSFD2.2	Grassland
HSFD2.3	Grassland
HSFD3.1	Grassland
HSFD3.2	Grassland
HSFD3.3	Grassland
HSFD4.1	Grassland
HSFD4.2	Grassland
HSFD4.3	Grassland
HSFD5.1	Grassland
HSFD5.2	Grassland
HSFD5.3	Grassland
HSMD1.1	Mobile
HSMD1.2	Mobile
HSMD1.3	Mobile
HSMD2.1	Mobile
HSMD2.2	Mobile
HSMD2.3	Mobile
HSMD3.1	Mobile
HSMD3.2	Mobile
HSMD3.3	Mobile
KEFD1.1	Grassland
KEFD1.2	Grassland
KEFD1.3	Grassland
KEFD2.1	Grassland
KEFD2.2	Grassland
KEFD2.3	Grassland
KEFD3.1	Grassland
KEFD3.2	Grassland
KEFD3.3	Grassland
KEFD4.1	Grassland
KEFD4.2	Grassland
KEFD4.3	Grassland
KEFD5.1	Grassland
KEFD5.2	Grassland
KEFD5.3	Grassland
KEMD1.1	Mobile
KEMD1.2	Mobile
KEMD1.3	Mobile
KEMD2.1	Mobile
KEMD2.2	Mobile
KEMD2.3	Mobile
KEMD3.1	Mobile
KEMD3.2	Mobile
KEMD3.3	Mobile
MUFD1.1	Grassland
MUFD1.2	Grassland
MUFD1.3	Grassland
MUFD2.1	Grassland
MUFD2.2	Grassland
MUFD2.3	Grassland
MUFD3.1	Grassland
MUFD3.2	Grassland
MUFD3.3	Grassland
MUMD1.1	Mobile
MUMD1.2	Mobile
MUMD1.3	Mobile
MUMD2.1	Mobile
MUMD2.2	Mobile
MUMD2.3	Mobile
MUMD3.1	Mobile
MUMD3.2	Mobile
MUMD3.3	Mobile
