seqID	length
seq1	12303
seq2	11969
seq3	11866
seq4	11440
seq5	11434
seq6	11256
seq7	10976
seq8	11057
seq9	10999
seq10	10126
seq11	10263
seq12	10090
seq13	10162
seq14	9634
seq15	9703
seq16	9373
seq17	9292
seq18	9034
seq19	8887
seq20	8877
seq21	8798
seq22	8793
seq23	8777
seq24	8695
seq25	8702
seq26	8582
seq27	8540
seq28	8786
seq29	8492
seq30	8440
seq31	8439
seq32	8322
seq33	8546
seq34	8344
seq35	8208
seq36	8206
seq37	8203
seq38	8310
seq39	8178
seq40	8068
seq41	8141
seq42	8077
seq43	8086
seq44	8073
seq45	8028
seq46	8014
seq47	8012
seq48	7976
seq49	7968
seq50	7963
seq51	7882
seq52	7927
seq53	7926
seq54	7947
seq55	7857
seq56	7862
seq57	7869
seq58	7850
seq59	7865
seq60	7910
seq61	7832
seq62	7815
seq63	7812
seq64	7878
seq65	7797
seq66	7725
seq67	7747
seq68	7675
seq69	7658
seq70	7671
seq71	7637
seq72	7732
seq73	7639
seq74	7364
seq75	7702
seq76	7598
seq77	7636
seq78	7584
seq79	7569
seq80	7634
seq81	7413
seq82	7480
seq83	7556
seq84	7533
seq85	7542
seq86	7534
seq87	7526
seq88	7507
seq89	7570
seq90	7506
seq91	7499
seq92	7516
seq93	7506
seq94	7498
seq95	7458
seq96	7476
seq97	7476
seq98	7438
seq99	7472
seq100	7451
seq101	7461
seq102	7457
seq103	7451
seq104	7485
seq105	7443
seq106	7456
seq107	7388
seq108	7421
seq109	7368
seq110	7416
seq111	7377
seq112	7406
seq113	7391
seq114	7376
seq115	7402
seq116	7355
seq117	7412
seq118	7320
seq119	7342
seq120	7333
seq121	7304
seq122	7335
seq123	7303
seq124	7274
seq125	7298
seq126	7231
seq127	7269
seq128	7229
seq129	7286
seq130	7241
seq131	7227
seq132	7240
seq133	7196
seq134	7223
seq135	7192
seq136	7194
seq137	7212
seq138	7207
seq139	7218
seq140	7180
seq141	7209
seq142	7176
seq143	7172
seq144	7180
seq145	7172
seq146	7116
seq147	7046
seq148	7106
seq149	7260
seq150	7175
seq151	7133
seq152	7071
seq153	7136
seq154	7123
seq155	7123
seq156	7027
seq157	7095
seq158	7101
seq159	7087
seq160	7128
seq161	7110
seq162	7174
seq163	6964
seq164	6959
seq165	7040
seq166	7032
seq167	7071
seq168	7105
seq169	7035
seq170	7011
seq171	7005
seq172	6923
seq173	7039
seq174	7011
seq175	6985
seq176	6955
seq177	6976
seq178	6977
seq179	6981
seq180	6988
seq181	6954
seq182	7057
seq183	6952
seq184	6948
seq185	6934
seq186	6902
seq187	6923
seq188	6937
seq189	6852
seq190	6736
seq191	6925
seq192	6978
seq193	6935
seq194	6898
seq195	6866
seq196	6816
seq197	6877
seq198	6873
seq199	6872
seq200	6869
seq201	6852
seq202	6848
seq203	6824
seq204	6802
seq205	6816
seq206	6775
seq207	6782
seq208	6792
seq209	6780
seq210	6776
seq211	6762
seq212	6755
seq213	6734
seq214	6728
seq215	6842
seq216	6721
seq217	6816
seq218	6717
seq219	6704
seq220	6684
seq221	6613
seq222	6661
seq223	6711
seq224	6653
seq225	6824
seq226	6680
seq227	6675
seq228	6697
seq229	6685
seq230	6618
seq231	6659
seq232	6655
seq233	6693
seq234	6724
seq235	6735
seq236	6680
seq237	6654
seq238	6590
seq239	6628
seq240	6780
seq241	6634
seq242	6633
seq243	6611
seq244	6717
seq245	6627
seq246	6598
seq247	6550
seq248	6593
seq249	6484
seq250	6604
seq251	6578
seq252	6593
seq253	6457
seq254	6631
seq255	6592
seq256	6565
seq257	6562
seq258	6527
seq259	6503
seq260	6573
seq261	6543
seq262	6550
seq263	6518
seq264	6499
seq265	6522
seq266	6645
seq267	6565
seq268	6515
seq269	6476
seq270	6532
seq271	6442
seq272	6468
seq273	6546
seq274	6504
seq275	6495
seq276	6502
seq277	6473
seq278	6514
seq279	6497
seq280	6456
seq281	6497
seq282	6449
seq283	6244
seq284	6393
seq285	6474
seq286	6449
seq287	6465
seq288	6397
seq289	6430
seq290	6416
seq291	6323
seq292	6422
seq293	6411
seq294	6428
seq295	6409
seq296	6406
seq297	6376
seq298	6429
seq299	6404
seq300	6416
seq301	6360
seq302	6380
seq303	6391
seq304	6392
seq305	6386
seq306	6392
seq307	6394
seq308	6370
seq309	6359
seq310	6366
seq311	6365
seq312	6348
seq313	6356
seq314	6346
seq315	6336
seq316	6345
seq317	6344
seq318	6479
seq319	6400
seq320	6321
seq321	6317
seq322	6362
seq323	6314
seq324	6349
seq325	6366
seq326	6337
seq327	6343
seq328	6320
seq329	6318
seq330	6362
seq331	6312
seq332	6310
seq333	6336
seq334	6324
seq335	6479
seq336	6319
seq337	6296
seq338	6297
seq339	6276
seq340	6024
seq341	6282
seq342	6308
seq343	6290
seq344	6304
seq345	6323
seq346	6265
seq347	6298
seq348	6271
seq349	6270
seq350	6273
seq351	6175
seq352	6315
seq353	6266
seq354	6273
seq355	6259
seq356	6276
seq357	6261
seq358	6299
seq359	6254
seq360	6263
seq361	6212
seq362	6290
seq363	6258
seq364	6276
seq365	6122
seq366	6242
seq367	6229
seq368	6133
seq369	6257
seq370	6219
seq371	6276
seq372	6217
seq373	6172
seq374	6214
seq375	6224
seq376	6251
seq377	6221
seq378	6211
seq379	6203
seq380	6174
seq381	6202
seq382	6257
seq383	6198
seq384	6206
seq385	6132
seq386	6145
seq387	6268
seq388	6245
seq389	6177
seq390	6178
seq391	6261
seq392	6106
seq393	6172
seq394	6322
seq395	6195
seq396	6181
seq397	6185
seq398	6151
seq399	6119
seq400	6042
seq401	6155
seq402	6155
seq403	6157
seq404	6174
seq405	6128
seq406	6113
seq407	6147
seq408	6229
seq409	6143
seq410	6115
seq411	6072
seq412	6119
seq413	6136
seq414	6135
seq415	6250
seq416	6135
seq417	6141
seq418	6142
seq419	6226
seq420	6182
seq421	6161
seq422	6168
seq423	6132
seq424	6126
seq425	6162
seq426	6145
seq427	6180
seq428	6128
seq429	6120
seq430	6121
seq431	6114
seq432	6098
seq433	6101
seq434	6168
seq435	6110
seq436	6092
seq437	6102
seq438	6093
seq439	6105
seq440	6095
seq441	6089
seq442	6074
seq443	6067
seq444	6067
seq445	6056
seq446	6075
seq447	6022
seq448	6011
seq449	6059
seq450	6090
seq451	6340
seq452	6066
seq453	6049
seq454	6052
seq455	6053
seq456	6046
seq457	5931
seq458	6075
seq459	6049
seq460	5976
seq461	6062
seq462	5976
seq463	6030
seq464	6040
seq465	6045
seq466	6027
seq467	6063
seq468	6028
seq469	6192
seq470	6018
seq471	6022
seq472	6018
seq473	6019
seq474	5974
seq475	5960
seq476	6037
seq477	6010
seq478	5989
seq479	5987
seq480	5898
seq481	5983
seq482	6205
seq483	5990
seq484	5966
seq485	5992
seq486	5989
seq487	5927
seq488	5972
seq489	5946
seq490	6041
seq491	6038
seq492	5997
seq493	5778
seq494	5954
seq495	5942
seq496	5932
seq497	5951
seq498	5920
seq499	5932
seq500	5987
seq501	5974
seq502	6174
seq503	5941
seq504	5935
seq505	5914
seq506	5936
seq507	5940
seq508	5947
seq509	5901
seq510	5886
seq511	5925
seq512	5916
seq513	5907
seq514	5912
seq515	5928
seq516	5912
seq517	5810
seq518	5907
seq519	5853
seq520	5974
seq521	5894
seq522	5912
seq523	5891
seq524	5883
seq525	5853
seq526	5647
seq527	5887
seq528	5935
seq529	5881
seq530	5900
seq531	5916
seq532	5916
seq533	5872
seq534	5863
seq535	5840
seq536	5865
seq537	5821
seq538	5796
seq539	5857
seq540	5852
seq541	5890
seq542	5902
seq543	5876
seq544	5849
seq545	5904
seq546	5836
seq547	5848
seq548	5818
seq549	5872
seq550	5778
seq551	5833
seq552	5852
seq553	5840
seq554	5828
seq555	5788
seq556	5833
seq557	5848
seq558	5829
seq559	5822
seq560	5957
seq561	5827
seq562	5843
seq563	5835
seq564	5821
seq565	5811
seq566	5931
seq567	5824
seq568	5809
seq569	5847
seq570	5851
seq571	5829
seq572	5805
seq573	5807
seq574	5719
seq575	5801
seq576	5808
seq577	5819
seq578	5830
seq579	5829
seq580	5737
seq581	5836
seq582	5804
seq583	5797
seq584	5858
seq585	5814
seq586	5783
seq587	5764
seq588	5856
seq589	5757
seq590	5787
seq591	5791
seq592	5830
seq593	5848
seq594	5756
seq595	5781
seq596	5785
seq597	5787
seq598	5773
seq599	5784
seq600	5816
seq601	5758
seq602	5848
seq603	5578
seq604	5800
seq605	5765
seq606	5777
seq607	5739
seq608	5767
seq609	5674
seq610	5776
seq611	5837
seq612	5870
seq613	5707
seq614	5853
seq615	5752
seq616	5659
seq617	5795
seq618	5744
seq619	5653
seq620	5748
seq621	5738
seq622	5748
seq623	5707
seq624	5698
seq625	5683
seq626	5557
seq627	5638
seq628	5720
seq629	5743
seq630	5731
seq631	5649
seq632	5724
seq633	5719
seq634	5725
seq635	5708
seq636	5714
seq637	5727
seq638	5729
seq639	5674
seq640	5708
seq641	5720
seq642	5747
seq643	5711
seq644	5716
seq645	5706
seq646	5694
seq647	5716
seq648	5617
seq649	5660
seq650	5693
seq651	5650
seq652	5617
seq653	5716
seq654	5703
seq655	5629
seq656	5710
seq657	5710
seq658	5678
seq659	5691
seq660	5644
seq661	5638
seq662	5672
seq663	5675
seq664	5669
seq665	5763
seq666	5674
seq667	5675
seq668	5690
seq669	5692
seq670	5672
seq671	5667
seq672	5660
seq673	5570
seq674	5653
seq675	5656
seq676	5672
seq677	5652
seq678	5650
seq679	5661
seq680	5640
seq681	5642
seq682	5614
seq683	5671
seq684	5602
seq685	5641
seq686	5620
seq687	5647
seq688	5664
seq689	5563
seq690	5614
seq691	5672
seq692	5616
seq693	5636
seq694	5611
seq695	5622
seq696	5614
seq697	5593
seq698	5620
seq699	5618
seq700	5681
seq701	5604
seq702	5602
seq703	5599
seq704	5582
seq705	5606
seq706	5611
seq707	5632
seq708	5534
seq709	5610
seq710	5610
seq711	5627
seq712	5601
seq713	5614
seq714	5593
seq715	5593
seq716	5597
seq717	5587
seq718	5633
seq719	5585
seq720	5652
seq721	5595
seq722	5492
seq723	5605
seq724	5568
seq725	5580
seq726	5575
seq727	5569
seq728	5643
seq729	5635
seq730	5489
seq731	5542
seq732	5521
seq733	5563
seq734	5569
seq735	5564
seq736	5566
seq737	5531
seq738	5566
seq739	5565
seq740	5615
seq741	5540
seq742	5568
seq743	5558
seq744	5537
seq745	5556
seq746	5575
seq747	5557
seq748	5516
seq749	5553
seq750	5557
seq751	5551
seq752	5556
seq753	5505
seq754	5709
seq755	5485
seq756	5549
seq757	5526
seq758	5543
seq759	5541
seq760	5544
seq761	5559
seq762	5550
seq763	5578
seq764	5556
seq765	5545
seq766	5530
seq767	5531
seq768	5555
seq769	5531
seq770	5528
seq771	5576
seq772	5499
seq773	5678
seq774	5519
seq775	5515
seq776	5518
seq777	5508
seq778	5507
seq779	5494
seq780	5480
seq781	5521
seq782	5460
seq783	5498
seq784	5501
seq785	5327
seq786	5477
seq787	5532
seq788	5499
seq789	5492
seq790	5505
seq791	5500
seq792	5506
seq793	5326
seq794	5529
seq795	5526
seq796	5574
seq797	5653
seq798	5490
seq799	5386
seq800	5816
seq801	5487
seq802	5508
seq803	5416
seq804	5476
seq805	5487
seq806	5487
seq807	5502
seq808	5473
seq809	5472
seq810	5453
seq811	5431
seq812	5462
seq813	5467
seq814	5468
seq815	5472
seq816	5450
seq817	5541
seq818	5451
seq819	5449
seq820	5459
seq821	5467
seq822	5467
seq823	5449
seq824	5464
seq825	5456
seq826	5437
seq827	5422
seq828	5429
seq829	5447
seq830	5445
seq831	5429
seq832	5360
seq833	5433
seq834	5503
seq835	5410
seq836	5455
seq837	5416
seq838	5416
seq839	5416
seq840	5462
seq841	5423
seq842	5464
seq843	5430
seq844	5415
seq845	5441
seq846	5428
seq847	5381
seq848	5475
seq849	5430
seq850	5422
seq851	5447
seq852	5441
seq853	5462
seq854	5199
seq855	5428
seq856	5428
seq857	5456
seq858	5420
seq859	5431
seq860	5422
seq861	5401
seq862	5408
seq863	5439
seq864	5281
seq865	5369
seq866	5411
seq867	5438
seq868	5425
seq869	5408
seq870	5425
seq871	5395
seq872	5391
seq873	5402
seq874	5444
seq875	5456
seq876	5395
seq877	5453
seq878	5351
seq879	5396
seq880	5361
seq881	5383
seq882	5466
seq883	5421
seq884	5377
seq885	5389
seq886	5387
seq887	5417
seq888	5514
seq889	5398
seq890	5350
seq891	5401
seq892	5398
seq893	5385
seq894	5370
seq895	5326
seq896	5378
seq897	5382
seq898	5376
seq899	5373
seq900	5342
seq901	5387
seq902	5373
seq903	5423
seq904	5372
seq905	5382
seq906	5368
seq907	5388
seq908	5390
seq909	5360
seq910	5365
seq911	5366
seq912	5365
seq913	5374
seq914	5365
seq915	5358
seq916	5326
seq917	5365
seq918	5336
seq919	5283
