OTU_ID	RMP100_1	RMP100_2	RMP100_3	RSP100_2	RSP100_3	RSP100_4	RSP90_2	RSP90_3	RSP90_4	RSP80_1	RSP80_3	RSP80_4	RSP50_2	RSP50_3	RSP50_4	RSP0_1	RSP0_2	RSP0_4	RSNF0_1	RSNF0_3	RSNF0_4	
Acetothermia	0	0	0	0	0	0	0	0	1	0	0	0	9	1	0	1	2	0	0	1	0	
Acidobacteria	2637	1255	1957	3109	2609	2573	2297	3383	1572	2214	2215	2235	1503	1570	1423	986	906	2715	2113	2264	1538	
Actinobacteria	946	953	787	527	628	705	533	539	623	625	673	895	655	513	592	836	650	596	706	799	1135	
Armatimonadetes	13	49	23	10	7	8	27	6	4	12	22	13	9	18	23	1	4	11	19	12	1	
BRC1	12	14	20	20	16	22	6	25	10	9	15	16	6	20	10	13	16	27	9	8	8	
Bacteria_Unclassified	0	1	1	0	2	0	3	1	3	0	1	0	3	2	1	0	2	5	0	0	1	
Bacteroidetes	1515	1708	1938	1116	1175	1560	912	898	1838	1351	970	1289	2534	1160	2119	1762	2004	1364	1481	1562	775	
Caldiserica	3	0	12	0	6	1	7	2	4	0	2	0	8	17	5	1	10	3	0	2	0	
Calditrichaeota	5	9	6	2	1	4	20	9	2	6	40	6	2	2	3	2	2	3	2	2	10	
Chlamydiae	4	2	12	1	6	29	29	29	4	8	1	8	19	13	14	5	8	8	18	30	0	
Chloroflexi	2203	1358	1798	3437	3225	1860	4965	3384	3326	3560	4846	2782	1401	5440	1917	1400	1847	3274	1967	2222	3044	
Cloacimonetes	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Cyanobacteria	257	692	151	338	79	324	175	580	828	395	363	423	840	291	1241	133	160	598	731	493	25	
Dadabacteria	14	15	20	2	4	10	5	12	3	8	22	8	6	5	1	5	7	13	12	14	24	
Deinococcus-Thermus	0	0	0	0	0	0	0	0	2	0	0	42	1	0	2	0	1	12	0	1	0	
Dependentiae	6	14	17	9	10	10	20	16	5	12	14	24	57	12	28	21	20	25	21	31	17	
Elusimicrobia	41	15	70	27	40	47	68	37	30	68	22	80	28	83	54	12	46	58	36	31	4	
Entotheonellaeota	3	1	5	4	2	3	0	3	0	1	8	2	6	8	1	4	7	3	5	2	12	
Epsilonbacteraeota	7	12	8	5	16	23	292	25	19	66	6	102	229	22	207	17	226	12	3	32	0	
FBP	2	0	0	1	0	0	1	0	3	0	2	1	0	3	0	0	0	1	0	0	0	
FCPU426	11	4	5	4	13	10	14	13	11	4	1	4	8	13	9	0	4	21	2	4	3	
Fibrobacteres	23	7	33	16	14	13	21	26	57	17	15	8	19	29	14	10	27	56	9	15	8	
Firestonebacteria	1	0	1	0	0	1	4	0	1	0	2	0	0	0	1	2	0	0	0	0	0	
Firmicutes	68	51	93	14	70	58	38	31	50	151	26	35	243	87	124	95	249	72	241	43	81	
Fusobacteria	0	0	1	1	0	0	0	0	3	11	0	0	4	1	0	0	0	0	0	0	0	
GAL15	7	3	6	29	18	17	14	12	18	38	25	12	12	9	0	2	7	35	83	8	25	
Gemmatimonadetes	678	626	430	558	607	551	296	433	390	381	690	445	260	223	270	681	303	393	492	524	890	
Hydrogenedentes	5	8	13	2	4	6	10	8	5	3	0	11	3	14	13	6	4	5	6	1	0	
Kiritimatiellaeota	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	2	0	3	0	0	
LCP-89	1	2	5	0	0	0	3	0	0	0	0	0	2	1	0	3	4	2	0	0	1	
Latescibacteria	306	72	169	632	532	524	232	505	160	428	397	302	248	169	177	34	58	353	448	243	165	
Lentisphaerae	0	0	0	0	0	0	0	1	0	0	0	2	2	2	1	1	5	0	0	0	0	
Margulisbacteria	1	4	1	1	2	0	4	1	1	2	1	0	0	4	6	0	10	1	1	2	0	
Modulibacteria	0	0	0	0	0	0	1	0	2	0	0	0	1	2	0	5	3	0	0	0	0	
Nitrospinae	75	9	69	39	210	82	151	64	66	139	69	73	44	165	86	24	39	224	21	48	27	
Nitrospirae	980	1053	1310	385	721	417	763	636	747	632	660	452	322	744	518	809	1280	537	343	666	1248	
Omnitrophicaeota	0	0	2	0	1	0	4	2	1	0	2	1	0	1	0	0	3	0	1	0	0	
Patescibacteria	135	171	170	167	134	135	161	159	169	120	123	94	227	258	260	334	245	130	137	581	61	
Planctomycetes	56	8	33	32	65	35	33	44	13	28	39	48	33	27	54	6	26	47	88	33	4	
Proteobacteria	7441	9921	7886	6738	7349	8709	5364	6524	7931	6917	6241	8286	8588	6063	7788	11090	9937	6530	8528	8023	8918	
Rokubacteria	163	76	121	120	232	173	193	304	74	138	449	126	103	77	87	57	54	248	141	203	368	
Spirochaetes	62	66	118	37	167	42	126	126	130	66	47	58	56	196	169	81	205	93	25	53	86	
TA06	12	0	14	0	0	4	41	2	2	2	0	0	7	13	8	0	3	2	0	3	0	
Unclassified	268	107	369	324	310	140	304	285	186	363	85	114	506	249	125	88	142	259	216	82	70	
Verrucomicrobia	492	349	903	850	262	516	1429	460	303	730	453	593	560	1002	1264	99	86	818	621	575	64	
WOR-1	1	0	5	2	7	2	32	2	4	4	0	0	7	13	0	0	8	5	0	0	0	
WPS-2	0	1	0	1	3	6	0	0	2	0	0	2	6	5	3	15	3	2	1	0	3	
WS2	16	6	18	16	16	10	7	7	9	13	2	10	4	20	5	0	3	13	8	6	2	
WS4	1	0	2	2	2	2	1	1	0	0	0	0	3	1	1	1	0	4	0	2	0	
Zixibacteria	184	14	54	78	90	24	49	60	43	133	107	54	72	87	31	14	28	78	118	35	38	
																							
																							
																							
																							
																							
																							
																							
