Geneid	B03-12-1	B03-12-2	B03-12-3	B03-16-2	B03-16-3	B03-16
Glyma.01G001200	0.196	0.126	0.120	0.976	0.988	1.283
Glyma.01G002000	55.018	58.374	53.422	22.873	24.851	24.032
Glyma.01G002400	1.328	1.520	0.920	13.337	14.378	11.228
Glyma.01G002501	0.414	0.432	0.168	3.427	4.692	3.466
Glyma.01G004200	4.530	4.583	4.915	0.705	0.791	0.989
Glyma.01G004600	0.095	0.126	0.131	1.342	1.411	0.901
Glyma.01G004700	0.222	0.235	0.171	1.646	2.002	2.184
Glyma.01G005200	0.876	1.029	1.084	4.773	5.004	4.080
Glyma.01G006000	1.080	1.072	0.969	3.740	3.888	5.319
Glyma.01G006200	4.053	2.874	4.155	14.612	15.778	11.079
Glyma.01G006700	10.061	10.167	10.717	3.834	3.005	2.814
Glyma.01G006800	0.127	0.094	0.078	0.693	0.693	1.115
Glyma.01G007200	2.077	2.149	2.324	9.642	9.420	10.050
Glyma.01G007300	0.265	0.368	0.372	1.669	2.047	2.135
Glyma.01G007800	0.156	0.134	0.224	4.180	4.185	5.615
Glyma.01G009000	1.068	0.992	1.078	0.000	0.029	0.000
Glyma.01G009600	0.201	0.356	0.371	1.670	1.235	1.221
Glyma.01G009700	0.054	0.057	0.071	7.460	6.775	6.440
Glyma.01G009900	6.025	7.140	6.789	2.832	2.921	3.848
Glyma.01G010200	587.397	594.631	590.838	119.855	125.620	123.614
Glyma.01G010500	6.296	6.435	6.205	0.710	0.678	0.538
Glyma.01G012400	10.359	10.051	9.101	4.209	4.425	5.597
Glyma.01G013500	1.599	1.526	1.941	9.617	9.486	10.252
Glyma.01G013900	27.304	25.555	27.726	5.176	6.108	5.770
Glyma.01G014600	0.457	0.445	0.327	4.530	3.841	4.177
Glyma.01G015100	68.724	67.858	70.063	29.664	32.327	33.421
Glyma.01G017700	22.431	23.211	22.969	2.061	2.764	2.866
Glyma.01G017800	1.745	1.713	1.794	0.670	0.796	0.342
Glyma.01G018000	41.897	41.516	43.238	20.646	21.468	19.005
Glyma.01G018100	0.192	0.290	0.303	11.519	5.624	1.828
Glyma.01G018800	3.753	3.340	3.699	0.724	1.258	0.643
Glyma.01G019500	1.255	0.642	1.102	0.169	0.331	0.303
Glyma.01G020900	1.161	1.200	1.107	3.778	4.453	4.171
Glyma.01G021000	30.067	28.993	28.622	5.465	4.908	4.739
Glyma.01G021900	5.119	5.754	5.481	2.635	2.721	2.144
Glyma.01G022400	1.113	1.331	1.182	0.610	0.614	0.426
Glyma.01G022700	0.213	0.282	0.331	2.224	1.852	1.972
Glyma.01G023200	10.224	10.499	10.317	2.732	2.574	2.292
Glyma.01G025000	0.117	0.211	0.082	1.245	1.328	0.981
Glyma.01G025100	40.944	39.076	42.066	179.521	194.818	139.859
Glyma.01G025200	9.485	11.335	10.414	1.115	0.680	1.238
Glyma.01G025500	0.984	0.883	0.847	7.548	8.172	9.323
Glyma.01G026700	252.927	259.336	251.735	61.253	67.293	71.949
Glyma.01G027500	9.264	9.003	9.551	1.405	1.244	1.514
Glyma.01G027800	0.331	0.503	0.257	1.146	1.391	1.411
Glyma.01G028100	1.639	1.532	1.706	0.743	0.541	0.825
Glyma.01G028200	0.408	0.668	0.610	3.602	4.401	4.042
Glyma.01G028600	0.388	0.257	0.252	2.287	2.061	2.231
Glyma.01G030000	0.085	0.038	0.000	2.876	3.050	2.332
Glyma.01G030500	29.448	29.545	31.262	7.858	8.059	9.808
Glyma.01G030900	1.598	1.354	1.451	9.903	10.231	9.947
Glyma.01G031300	0.076	0.072	0.024	0.953	0.730	1.220
Glyma.01G031500	4.243	4.470	4.589	1.864	1.690	1.706
Glyma.01G031900	1.089	1.095	1.192	3.866	3.780	4.587
Glyma.01G032000	0.213	0.282	0.285	5.594	5.367	5.813
Glyma.01G033700	0.426	0.343	0.429	1.841	2.388	2.104
Glyma.01G033800	32.051	33.251	31.089	9.304	8.715	8.228
Glyma.01G034000	0.026	0.210	0.088	61.842	75.294	79.151
Glyma.01G034900	0.040	0.017	0.015	4.872	5.611	5.614
Glyma.01G035500	0.000	0.000	0.000	4.856	6.329	7.849
Glyma.01G035600	0.068	0.112	0.037	1.156	1.485	2.001
Glyma.01G036900	5.992	6.368	6.123	0.556	0.390	0.546
Glyma.01G037200	0.925	0.802	1.074	0.402	0.514	0.242
Glyma.01G037700	1.265	1.155	1.105	3.785	3.734	4.520
Glyma.01G038400	0.157	0.220	0.183	1.163	0.844	1.048
