Geneid	B17-12-1	B17-12-2	B17-12-3	C17-16-2	C17-16-3	C17-16
Vigun01g000100	8.717	9.396	8.672	4.085	5.641	5.046
Vigun01g000200	10.467	10.685	11.422	8.531	11.062	11.066
Vigun01g000300	16.308	16.841	17.236	30.494	34.638	35.111
Vigun01g000400	27.537	27.958	27.525	42.391	47.891	50.474
Vigun01g000500	7.538	6.593	6.077	4.069	4.976	4.795
Vigun01g000600	0.305	0.447	0.279	0.133	0.101	0.000
Vigun01g000700	11.620	10.681	12.147	15.832	18.059	18.884
Vigun01g000800	7.057	7.785	8.059	5.200	6.554	6.817
Vigun01g000900	0.082	0.107	0.075	0.048	0.018	0.027
Vigun01g001000	3.992	4.609	4.939	7.347	9.265	8.387
Vigun01g001200	7.539	6.793	6.746	5.438	5.743	6.066
Vigun01g001300	63.648	64.109	63.713	44.927	49.558	48.204
Vigun01g001400	1.727	1.370	1.935	1.994	1.334	1.858
Vigun01g001500	8.154	7.808	7.316	4.559	6.772	7.583
Vigun01g001600	8.900	8.778	9.117	8.872	9.403	8.702
Vigun01g001700	0.399	0.488	0.593	0.000	0.016	0.000
Vigun01g001800	8.952	8.166	8.179	4.220	4.183	3.692
