OTU ID	B1-1	B1-2	B1-4	D1-1	D1-4	D1-5	F1-2	F1-3	F1-5	F2-1	F2-2	F2-4	S1-3	S1-4	S1-5
OTU1	1.0	2.0	54.0	579.0	586.0	1307.0	2184.0	1813.0	824.0	240.0	43.0	27.0	41747.0	25601.0	19357.0
OTU2	3.0	11.0	5.0	289.0	216.0	350.0	17871.0	25703.0	10173.0	1176.0	754.0	456.0	1406.0	3857.0	9958.0
OTU3	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18835.0	18217.0	22030.0	2.0	7.0	5.0
OTU4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16701.0	17658.0	21532.0	1.0	22.0	15.0
OTU5	20645.0	8200.0	19111.0	260.0	568.0	436.0	28.0	2.0	0.0	1.0	0.0	0.0	200.0	162.0	275.0
OTU6	1.0	1.0	13.0	148.0	48.0	160.0	10162.0	15637.0	13263.0	556.0	399.0	156.0	789.0	2363.0	4672.0
OTU7	5110.0	2527.0	10262.0	418.0	225.0	308.0	5.0	0.0	2.0	0.0	0.0	0.0	44.0	31.0	92.0
OTU8	69.0	136.0	123.0	4640.0	4940.0	3904.0	37.0	49.0	216.0	6.0	3.0	6.0	138.0	2147.0	1940.0
OTU9	139.0	171.0	180.0	3992.0	2920.0	2319.0	20.0	17.0	48.0	30.0	21.0	32.0	170.0	3318.0	2138.0
OTU10	4351.0	2189.0	7834.0	167.0	225.0	125.0	3.0	2.0	0.0	0.0	0.0	0.0	61.0	31.0	110.0
OTU11	1.0	0.0	8.0	69.0	145.0	171.0	249.0	289.0	4999.0	23.0	4.0	2.0	3950.0	2414.0	1944.0
OTU12	0.0	0.0	0.0	5323.0	2575.0	3007.0	2.0	0.0	0.0	0.0	0.0	0.0	33.0	5.0	50.0
OTU13	46.0	4618.0	87.0	878.0	757.0	747.0	447.0	175.0	235.0	117.0	108.0	142.0	32.0	720.0	496.0
OTU14	221.0	259.0	100.0	2626.0	1904.0	1138.0	18.0	15.0	47.0	4.0	4.0	9.0	131.0	1224.0	1360.0
OTU15	47.0	127.0	98.0	2018.0	2415.0	1106.0	17.0	22.0	57.0	20.0	7.0	15.0	64.0	1649.0	1241.0
OTU16	59.0	84.0	71.0	2261.0	1555.0	777.0	9.0	5.0	19.0	17.0	5.0	12.0	57.0	2457.0	976.0
OTU17	86.0	65.0	66.0	1590.0	1645.0	817.0	6.0	3.0	23.0	3.0	6.0	9.0	72.0	1216.0	1078.0
OTU18	0.0	0.0	0.0	3253.0	1053.0	1414.0	221.0	26.0	168.0	0.0	0.0	0.0	242.0	106.0	180.0
OTU19	11.0	16.0	28.0	681.0	331.0	577.0	3598.0	19.0	18.0	37.0	21.0	41.0	24.0	419.0	549.0
OTU20	45.0	119.0	41.0	209.0	4283.0	407.0	340.0	299.0	224.0	7.0	7.0	9.0	16.0	118.0	182.0
OTU21	52.0	62.0	167.0	1504.0	1404.0	931.0	4.0	7.0	60.0	1.0	2.0	8.0	67.0	954.0	989.0
OTU22	1.0	5.0	2.0	0.0	0.0	0.0	73.0	38.0	18.0	1730.0	1689.0	2172.0	0.0	0.0	23.0
OTU23	26.0	60.0	47.0	1077.0	1412.0	879.0	457.0	18.0	20.0	10.0	15.0	17.0	57.0	961.0	692.0
OTU24	0.0	0.0	0.0	0.0	0.0	20.0	0.0	6.0	6.0	1548.0	1640.0	2033.0	0.0	8.0	13.0
OTU25	493.0	929.0	359.0	1592.0	587.0	1057.0	12.0	57.0	12.0	0.0	0.0	0.0	21.0	49.0	74.0
OTU26	604.0	1163.0	460.0	939.0	212.0	1387.0	6.0	4.0	3.0	0.0	0.0	0.0	50.0	114.0	144.0
OTU27	81.0	3857.0	45.0	91.0	89.0	120.0	92.0	57.0	62.0	33.0	27.0	30.0	18.0	106.0	221.0
OTU28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1262.0	1212.0	1540.0	0.0	0.0	0.0
OTU29	2.0	0.0	2.0	0.0	0.0	0.0	104.0	592.0	3170.0	1.0	0.0	1.0	0.0	13.0	32.0
OTU30	3.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	602.0	606.0	773.0	2.0	885.0	816.0
OTU31	11.0	61.0	19.0	556.0	2240.0	395.0	30.0	38.0	30.0	1.0	0.0	1.0	3.0	31.0	181.0
OTU32	381.0	421.0	90.0	882.0	380.0	473.0	1.0	2.0	7.0	0.0	0.0	1.0	56.0	187.0	475.0
OTU33	207.0	327.0	476.0	750.0	427.0	845.0	1.0	5.0	1.0	0.0	0.0	0.0	24.0	26.0	18.0
OTU34	7.0	104.0	16.0	230.0	154.0	699.0	102.0	57.0	20.0	186.0	158.0	241.0	20.0	368.0	640.0
OTU35	204.0	846.0	406.0	596.0	149.0	611.0	4.0	14.0	8.0	0.0	0.0	0.0	19.0	63.0	66.0
OTU36	0.0	0.0	0.0	1114.0	508.0	794.0	1.0	0.0	0.0	0.0	0.0	0.0	82.0	91.0	173.0
OTU37	64.0	231.0	39.0	321.0	197.0	802.0	0.0	18.0	0.0	3.0	3.0	1.0	31.0	583.0	361.0
OTU38	2.0	0.0	0.0	0.0	14.0	52.0	2.0	19.0	11.0	811.0	745.0	908.0	0.0	19.0	8.0
OTU39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	777.0	763.0	813.0	0.0	14.0	0.0
OTU40	11.0	35.0	7.0	405.0	544.0	319.0	33.0	42.0	46.0	10.0	9.0	8.0	15.0	353.0	216.0
OTU41	9.0	4.0	4.0	20.0	18.0	1773.0	2.0	1.0	5.0	15.0	19.0	23.0	1.0	28.0	77.0
OTU42	286.0	556.0	333.0	220.0	82.0	367.0	6.0	5.0	1.0	0.0	0.0	0.0	21.0	17.0	30.0
OTU43	301.0	291.0	57.0	522.0	72.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	151.0	186.0
OTU44	11.0	15.0	24.0	341.0	552.0	151.0	0.0	2.0	2.0	1.0	0.0	0.0	12.0	325.0	269.0
OTU45	97.0	284.0	182.0	313.0	285.0	458.0	2.0	5.0	4.0	0.0	0.0	0.0	13.0	18.0	37.0
OTU46	162.0	260.0	330.0	438.0	248.0	50.0	5.0	5.0	8.0	0.0	0.0	0.0	11.0	40.0	126.0
OTU47	8.0	104.0	11.0	187.0	128.0	193.0	182.0	119.0	333.0	10.0	9.0	17.0	9.0	80.0	78.0
OTU48	5.0	1.0	0.0	21.0	1.0	54.0	12.0	21.0	1088.0	15.0	21.0	22.0	97.0	60.0	37.0
OTU49	194.0	27.0	1165.0	26.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	8.0	21.0
OTU50	102.0	202.0	754.0	0.0	15.0	20.0	16.0	15.0	2.0	0.0	0.0	0.0	126.0	109.0	60.0
OTU51	123.0	198.0	139.0	389.0	49.0	410.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	3.0	14.0
OTU52	41.0	104.0	669.0	328.0	143.0	10.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	20.0
OTU53	21.0	1256.0	23.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
OTU54	86.0	502.0	43.0	360.0	96.0	105.0	3.0	2.0	3.0	0.0	0.0	0.0	8.0	0.0	42.0
OTU55	149.0	335.0	196.0	326.0	43.0	102.0	2.0	4.0	0.0	0.0	1.0	0.0	10.0	0.0	11.0
OTU56	16.0	29.0	12.0	229.0	107.0	134.0	1.0	0.0	7.0	0.0	3.0	2.0	24.0	250.0	310.0
OTU57	27.0	30.0	11.0	207.0	294.0	271.0	3.0	2.0	4.0	7.0	1.0	0.0	11.0	72.0	161.0
OTU58	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	311.0	323.0	399.0	0.0	0.0	0.0
OTU59	211.0	353.0	243.0	224.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU60	42.0	1.0	16.0	127.0	294.0	76.0	4.0	69.0	0.0	0.0	0.0	0.0	2.0	313.0	81.0
OTU61	120.0	468.0	360.0	38.0	9.0	0.0	1.0	3.0	2.0	0.0	0.0	0.0	2.0	10.0	7.0
OTU62	31.0	543.0	52.0	373.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU63	25.0	412.0	64.0	134.0	70.0	234.0	0.0	3.0	4.0	0.0	0.0	0.0	7.0	1.0	28.0
OTU64	26.0	368.0	382.0	86.0	0.0	62.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	22.0
OTU65	22.0	9.0	5.0	183.0	535.0	67.0	1.0	1.0	0.0	2.0	1.0	0.0	6.0	24.0	36.0
OTU66	4.0	11.0	7.0	278.0	178.0	166.0	0.0	0.0	7.0	0.0	0.0	1.0	8.0	146.0	76.0
OTU67	68.0	459.0	22.0	274.0	6.0	5.0	2.0	4.0	0.0	0.0	0.0	0.0	3.0	5.0	31.0
OTU68	55.0	85.0	114.0	90.0	75.0	421.0	2.0	2.0	3.0	0.0	0.0	0.0	8.0	7.0	6.0
OTU69	282.0	303.0	134.0	38.0	1.0	83.0	7.0	5.0	3.0	0.0	0.0	0.0	3.0	3.0	3.0
OTU70	143.0	576.0	52.0	57.0	0.0	0.0	3.0	2.0	16.0	0.0	0.0	0.0	0.0	0.0	4.0
OTU71	223.0	22.0	554.0	0.0	0.0	1.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
OTU72	6.0	3.0	0.0	3.0	5.0	18.0	0.0	0.0	2.0	220.0	209.0	316.0	0.0	23.0	15.0
OTU73	74.0	279.0	80.0	92.0	19.0	144.0	0.0	2.0	0.0	0.0	0.0	0.0	17.0	52.0	12.0
OTU74	52.0	46.0	33.0	78.0	0.0	323.0	2.0	7.0	0.0	1.0	0.0	0.0	7.0	109.0	107.0
OTU75	63.0	65.0	223.0	253.0	24.0	73.0	7.0	3.0	4.0	0.0	0.0	0.0	4.0	12.0	3.0
OTU76	56.0	61.0	382.0	64.0	2.0	126.0	0.0	4.0	6.0	0.0	0.0	0.0	11.0	0.0	3.0
OTU77	11.0	445.0	109.0	121.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU78	111.0	445.0	38.0	39.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU79	72.0	214.0	89.0	162.0	0.0	25.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	11.0	29.0
OTU80	24.0	7.0	1.0	124.0	169.0	62.0	1.0	1.0	0.0	6.0	5.0	4.0	10.0	66.0	118.0
OTU81	0.0	0.0	1.0	4.0	2.0	5.0	9.0	10.0	19.0	8.0	7.0	6.0	228.0	145.0	133.0
OTU82	300.0	103.0	82.0	66.0	1.0	6.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
OTU83	5.0	4.0	2.0	1.0	32.0	397.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	93.0	7.0
OTU84	31.0	171.0	92.0	126.0	7.0	74.0	2.0	5.0	1.0	0.0	0.0	0.0	4.0	2.0	23.0
OTU85	105.0	110.0	39.0	46.0	0.0	193.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	7.0	25.0
OTU86	25.0	26.0	297.0	54.0	13.0	7.0	2.0	1.0	0.0	0.0	0.0	0.0	12.0	66.0	26.0
OTU87	0.0	0.0	0.0	184.0	199.0	114.0	0.0	0.0	4.0	0.0	0.0	0.0	12.0	1.0	11.0
OTU88	34.0	55.0	248.0	43.0	62.0	0.0	4.0	14.0	1.0	0.0	0.0	0.0	6.0	23.0	19.0
OTU89	70.0	55.0	381.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU90	13.0	5.0	148.0	196.0	0.0	69.0	20.0	16.0	0.0	0.0	0.0	0.0	8.0	6.0	3.0
OTU91	1.0	7.0	5.0	24.0	102.0	5.0	1.0	0.0	2.0	68.0	85.0	87.0	3.0	69.0	16.0
OTU92	73.0	114.0	204.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU93	215.0	6.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU94	0.0	0.0	3.0	0.0	3.0	0.0	1.0	0.0	0.0	105.0	118.0	143.0	7.0	27.0	29.0
OTU95	10.0	13.0	8.0	128.0	111.0	40.0	5.0	6.0	1.0	2.0	6.0	4.0	2.0	33.0	54.0
OTU96	5.0	1.0	2.0	61.0	28.0	70.0	0.0	2.0	0.0	1.0	0.0	1.0	7.0	164.0	80.0
OTU97	23.0	187.0	17.0	91.0	41.0	22.0	1.0	2.0	2.0	1.0	0.0	1.0	0.0	14.0	14.0
OTU98	0.0	1.0	2.0	407.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
OTU99	35.0	46.0	99.0	181.0	0.0	24.0	1.0	1.0	2.0	0.0	0.0	0.0	6.0	16.0	1.0
OTU100	82.0	254.0	54.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
OTU101	3.0	365.0	6.0	26.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU102	53.0	145.0	156.0	1.0	33.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	105.0	151.0	0.0	0.0	0.0
OTU104	6.0	6.0	5.0	85.0	55.0	55.0	2.0	29.0	5.0	3.0	1.0	5.0	4.0	78.0	48.0
OTU105	39.0	46.0	60.0	74.0	69.0	59.0	1.0	2.0	2.0	0.0	0.0	0.0	3.0	24.0	6.0
OTU106	10.0	5.0	6.0	34.0	243.0	23.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	47.0
OTU107	2.0	3.0	8.0	117.0	118.0	83.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	20.0	7.0
OTU108	7.0	16.0	5.0	27.0	149.0	70.0	1.0	4.0	8.0	0.0	0.0	0.0	0.0	18.0	58.0
OTU109	7.0	2.0	2.0	58.0	74.0	52.0	2.0	0.0	0.0	2.0	0.0	1.0	3.0	67.0	93.0
OTU110	2.0	0.0	1.0	31.0	18.0	193.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	107.0	2.0
OTU111	11.0	4.0	3.0	15.0	6.0	6.0	40.0	57.0	49.0	6.0	5.0	21.0	3.0	61.0	72.0
OTU112	35.0	149.0	53.0	112.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
OTU113	1.0	0.0	0.0	81.0	235.0	31.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	2.0
OTU114	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	94.0	94.0	157.0	0.0	0.0	0.0
