#SampleID	Group
2	BM
21	BM
54	BM
55	BM
56	BM
40	BM
85	BM
238	BM
240	BM
83	BM
248	BM
47	BM
107	BM
151	BM
145	BM
150	BM
271	BM
251	BM
277	BM
270-2	BM
317	BM
328	BM
334	BM
252	BM
321	BM
322	BM
315	BM
246-p2	BM
258-p2	BM
261-p2	BM
341-p2	BM
376-p2	BM
320-p2	BM
92	AM
124	AM
188	AM
180	AM
183	AM
235	AM
210	AM
205	AM
242	AM
198	AM
250	AM
169	AM
227	AM
265	AM
268	AM
266	AM
272	AM
361	AM
388	AM
370	AM
397	AM
403	AM
412	AM
274	AM
407	AM
406	AM
390	AM
277-p2	AM
276-p2	AM
279-p2	AM
420-p2	AM
415-p2	AM
418-p2	AM
