id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_fdr	namespace	genes_in_study
GO:0006123	e	"mitochondrial electron transport, cytochrome c to oxygen"	7/1193	7/12296	7.97E-08	0	biological_process	PLEOSDRAFT_1113744;PLEOSDRAFT_38932;PLEOSDRAFT_49912;PLEOSDRAFT_1088582;PLEOSDRAFT_1087668;PLEOSDRAFT_1094413;PLEOSDRAFT_186026
GO:0019646	e	aerobic electron transport chain	7/1193	7/12296	7.97E-08	0	biological_process	PLEOSDRAFT_1113744;PLEOSDRAFT_38932;PLEOSDRAFT_49912;PLEOSDRAFT_1088582;PLEOSDRAFT_1087668;PLEOSDRAFT_1094413;PLEOSDRAFT_186026
GO:0031012	e	extracellular matrix	14/1193	22/12296	1.69E-07	0	cellular_component	PLEOSDRAFT_1089851;PLEOSDRAFT_1087624;PLEOSDRAFT_1091892;PLEOSDRAFT_1090849;PLEOSDRAFT_1087719;PLEOSDRAFT_1075708;PLEOSDRAFT_1075285;PLEOSDRAFT_1063312;PLEOSDRAFT_47087;PLEOSDRAFT_1064157;PLEOSDRAFT_1040351;PLEOSDRAFT_1103290;PLEOSDRAFT_166613;PLEOSDRAFT_1064869
GO:0009145	e	purine nucleoside triphosphate biosynthetic process	22/1193	48/12296	2.20E-07	0	biological_process	PLEOSDRAFT_1087915;PLEOSDRAFT_1095873;PLEOSDRAFT_174437;PLEOSDRAFT_1061059;PLEOSDRAFT_1090849;PLEOSDRAFT_1071775;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1064050;PLEOSDRAFT_26034;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_1056310;PLEOSDRAFT_1090672;PLEOSDRAFT_1057010;PLEOSDRAFT_1066202;PLEOSDRAFT_1088861;PLEOSDRAFT_1090663;PLEOSDRAFT_1088731;PLEOSDRAFT_1064864;PLEOSDRAFT_1064869;PLEOSDRAFT_1113638
GO:0009201	e	ribonucleoside triphosphate biosynthetic process	22/1193	48/12296	2.20E-07	0	biological_process	PLEOSDRAFT_1087915;PLEOSDRAFT_1095873;PLEOSDRAFT_174437;PLEOSDRAFT_1061059;PLEOSDRAFT_1090849;PLEOSDRAFT_1071775;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1064050;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_1056310;PLEOSDRAFT_1090672;PLEOSDRAFT_1057010;PLEOSDRAFT_1066202;PLEOSDRAFT_1052542;PLEOSDRAFT_1088861;PLEOSDRAFT_1090663;PLEOSDRAFT_1088731;PLEOSDRAFT_1064864;PLEOSDRAFT_1064869;PLEOSDRAFT_1113638
GO:0022904	e	respiratory electron transport chain	25/1193	48/12296	2.20E-07	0	biological_process	PLEOSDRAFT_172351;PLEOSDRAFT_1092225;PLEOSDRAFT_1068494;PLEOSDRAFT_1113744;PLEOSDRAFT_1051730;PLEOSDRAFT_38932;PLEOSDRAFT_49912;PLEOSDRAFT_1071775;PLEOSDRAFT_1088582;PLEOSDRAFT_1088400;PLEOSDRAFT_1087668;PLEOSDRAFT_1110825;PLEOSDRAFT_1094413;PLEOSDRAFT_1092785;PLEOSDRAFT_1112695;PLEOSDRAFT_1102145;PLEOSDRAFT_46913;PLEOSDRAFT_1088673;PLEOSDRAFT_186026;PLEOSDRAFT_1091387;PLEOSDRAFT_1088230;PLEOSDRAFT_1088542;PLEOSDRAFT_1066516;PLEOSDRAFT_1072578;PLEOSDRAFT_1059116
GO:0098803	e	respiratory chain complex	22/1193	39/12296	2.43E-07	0	cellular_component	PLEOSDRAFT_172351;PLEOSDRAFT_1068494;PLEOSDRAFT_1051730;PLEOSDRAFT_38932;PLEOSDRAFT_45967;PLEOSDRAFT_49912;PLEOSDRAFT_1071775;PLEOSDRAFT_1089179;PLEOSDRAFT_1088582;PLEOSDRAFT_1088400;PLEOSDRAFT_1087668;PLEOSDRAFT_1094413;PLEOSDRAFT_1060326;PLEOSDRAFT_1092169;PLEOSDRAFT_186026;PLEOSDRAFT_1091387;PLEOSDRAFT_1088230;PLEOSDRAFT_1088542;PLEOSDRAFT_1066516;PLEOSDRAFT_1072578;PLEOSDRAFT_1059116;PLEOSDRAFT_1051773
GO:0009062	e	fatty acid catabolic process	20/1193	44/12296	2.89E-07	0	biological_process	PLEOSDRAFT_41213;PLEOSDRAFT_1089359;PLEOSDRAFT_173665;PLEOSDRAFT_48714;PLEOSDRAFT_1067024;PLEOSDRAFT_1112695;PLEOSDRAFT_1102839;PLEOSDRAFT_185903;PLEOSDRAFT_1088775;PLEOSDRAFT_50782;PLEOSDRAFT_1055720;PLEOSDRAFT_1068698;PLEOSDRAFT_1107810;PLEOSDRAFT_1088347;PLEOSDRAFT_1054697;PLEOSDRAFT_1054346;PLEOSDRAFT_1110547;PLEOSDRAFT_1110467;PLEOSDRAFT_1092991;PLEOSDRAFT_1089338
GO:0006119	e	oxidative phosphorylation	27/1193	44/12296	2.89E-07	0	biological_process	PLEOSDRAFT_172351;PLEOSDRAFT_1068494;PLEOSDRAFT_1113744;PLEOSDRAFT_1051730;PLEOSDRAFT_1061059;PLEOSDRAFT_38932;PLEOSDRAFT_49912;PLEOSDRAFT_1071775;PLEOSDRAFT_1088582;PLEOSDRAFT_1088400;PLEOSDRAFT_1087668;PLEOSDRAFT_1110825;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1064050;PLEOSDRAFT_46913;PLEOSDRAFT_1056310;PLEOSDRAFT_186026;PLEOSDRAFT_1091387;PLEOSDRAFT_1088230;PLEOSDRAFT_1057010;PLEOSDRAFT_1066202;PLEOSDRAFT_1088542;PLEOSDRAFT_1066516;PLEOSDRAFT_1072578;PLEOSDRAFT_1059116;PLEOSDRAFT_1113638
GO:0034440	e	lipid oxidation	12/1193	23/12296	3.23E-07	0	biological_process	PLEOSDRAFT_41213;PLEOSDRAFT_1053846;PLEOSDRAFT_48714;PLEOSDRAFT_1112695;PLEOSDRAFT_1102839;PLEOSDRAFT_185903;PLEOSDRAFT_50782;PLEOSDRAFT_1107810;PLEOSDRAFT_1088347;PLEOSDRAFT_1054697;PLEOSDRAFT_1110547;PLEOSDRAFT_1092991
