sample	pH	salt	water	TN	P	TN-P	TOC-P	TOC	TOC-TN
NZ	0.960946195733831	0.144574207609616	0.913813852383717	0.116607743988248	1.10653085382238	1.43376983392487	2.86615732671944	0.984257201705416	1.463295609962
NQ	0.947433721887051	0.792741785834749	1.00732095292274	0.0622058088197126	0.696356388733332	1.59977393914639	4.05705797028965	1.6652994994999	2.46976312459806
230Z	0.958563883221967	0.414137362184477	1.24204423936955	0.0293837776852097	1.08314414314305	0.863322860120456	2.50659972804196	0.658583715407063	1.71432975974523
Q	0.967547976218862	0.317018101048112	1.39093510710338	0.0350292822023682	0.956168430475363	1.05880548667591	3.10623170610393	1.05153839051533	2.09039914925546
148Z	0.955206537541942	0.6232492903979	1.31323429169472	0.107209969647868	1.23477029516092	1.26292546933183	2.51087998475612	0.7942788657214	1.29380435991934
724Q	0.952792443044092	0.587710965018911	1.53869937954241	0.077731179652392	0.758911892397973	1.62685341466673	3.27345270362117	0.99528410768926	1.6662370958958
115W	0.943988875073772	0.716003343634799	1.38560627359831	0.0293837776852097	0.460897842756548	1.58024050826538	4.23970179734764	1.52917360326172	2.67196847435111
1	1.01325866528352	0.0530784434834197	0.662757831681574	0.0877814178095424	0.893761762057943	1.5287881917749	3.99325100960264	1.83403901815947	2.4788261289562
2	0.945960703577569	0.0530784434834197	0.505149978319906	0.0515383905153274	0.741939077729199	1.46044678388072	3.9340796096584	1.60021030640933	2.49019734596247
3	0.953759691733229	0.332438459915605	1.14301480025409	0.0406023401140731	0.962842681201242	1.11327469246435	3.16744730820348	1.11461098423217	2.09219412069732
5	0.995196291597179	0.0625819842281631	0.963787827345555	0.0178677189635057	0.8750612633917	0.872738827472669	3.33155280872208	1.17435059747938	2.52231379515667
