id	start	end	id.1	start.1	end.1
a1	15455	31263	b1	66553	82361
a2	24003	31263	b1	59293	66553
a3	25189	31263	b1	53219	59293
a4	19926	31263	b1	41882	53219
a5	27543	31263	b1	38162	41882
a6	27178	31263	b1	34077	38162
a7	21553	31263	b1	24367	34077
a8	21846	31263	b1	14950	24367
a9	16313	31263	b1	0	14950
a1	12209	15455	b2	70850	74096
a2	8721	24003	b2	55568	70850
a3	16479	25189	b2	46858	55568
a4	12590	19926	b2	39522	46858
a5	20007	27543	b2	31986	39522
a6	18039	27178	b2	22847	31986
a7	11428	21553	b2	12722	22847
a8	14626	21846	b2	5502	12722
a9	10811	16313	b2	0	5502
a1	11880	12209	b3	50911	51240
a2	5658	8721	b3	47848	50911
a3	8754	16479	b3	40123	47848
a4	11064	12590	b3	38597	40123
a5	9023	20007	b3	27613	38597
a6	6254	18039	b3	15828	27613
a7	1888	11428	b3	6288	15828
a8	8749	14626	b3	411	6288
a9	10400	10811	b3	0	411
a1	7264	11880	b4	15278	19894
a2	4240	5658	b4	13860	15278
a3	6785	8754	b4	11891	13860
a4	6699	11064	b4	7526	11891
a5	7853	9023	b4	6356	7526
a6	5469	6254	b4	5571	6356
a7	1651	1888	b4	5334	5571
a8	5778	8749	b4	2363	5334
a9	8037	10400	b4	0	2363
a1	7196	7264	b5	12559	12627
a2	4215	4240	b5	12534	12559
a3	5126	6785	b5	10875	12534
a4	6521	6699	b5	10697	10875
a5	4017	7853	b5	6861	10697
a6	2863	5469	b5	4255	6861
a7	911	1651	b5	3515	4255
a8	5142	5778	b5	2879	3515
a9	5158	8037	b5	0	2879
a1	7012	7196	b6	6276	6460
a2	3986	4215	b6	6047	6276
a3	3969	5126	b6	4890	6047
a4	6170	6521	b6	4539	4890
a5	2772	4017	b6	3294	4539
a6	1756	2863	b6	2187	3294
a7	755	911	b6	2031	2187
a8	4292	5142	b6	1181	2031
a9	3977	5158	b6	0	1181
a1	5754	7012	b7	4947	6205
a2	3953	3986	b7	4914	4947
a3	3410	3969	b7	4355	4914
a4	5820	6170	b7	4005	4355
a5	1651	2772	b7	2884	4005
a6	1138	1756	b7	2266	2884
a7	577	755	b7	2088	2266
a8	3108	4292	b7	904	2088
a9	3073	3977	b7	0	904
a1	4193	5754	b8	2633	4194
a2	3474	3953	b8	2154	2633
a3	2833	3410	b8	1577	2154
a4	5026	5820	b8	783	1577
a5	1641	1651	b8	773	783
a6	1134	1138	b8	769	773
a7	536	577	b8	728	769
a8	2754	3108	b8	374	728
a9	2699	3073	b8	0	374
a1	4145	4193	b9	3639	3687
a2	1740	3474	b9	1905	3639
a3	1980	2833	b9	1052	1905
a4	4698	5026	b9	724	1052
a5	1574	1641	b9	657	724
a6	1112	1134	b9	635	657
a7	532	536	b9	631	635
a8	2282	2754	b9	159	631
a9	2540	2699	b9	0	159
a1	3646	4145	c1	2889	3388
a2	1125	1740	c1	2274	2889
a3	1629	1980	c1	1923	2274
a4	3085	4698	c1	310	1923
a5	1559	1574	c1	295	310
a6	1083	1112	c1	266	295
a7	530	532	c1	264	266
a8	2095	2282	c1	77	264
a9	2463	2540	c1	0	77
a1	0	3646	c2	13569	17215
a2	0	1125	c2	12444	13569
a3	0	1629	c2	10815	12444
a4	0	3085	c2	7730	10815
a5	0	1559	c2	6171	7730
a6	0	1083	c2	5088	6171
a7	0	530	c2	4558	5088
a8	0	2095	c2	2463	4558
a9	0	2463	c2	0	2463
