GO:0008150	BP
_	GO:0000003	reproduction
_	_	GO:0019953	sexual reproduction
_	_	GO:0019954	asexual reproduction
_	_	GO:0032504	multicellular organism reproduction
_	_	GO:0032505	reproduction of a single-celled organism
_	_	GO:0051321	meiotic cell cycle
_	GO:0001906	cell killing
_	_	GO:0001908	killing of cells of other organism
_	_	GO:0001909	leukocyte mediated cytotoxicity
_	_	GO:0008220	necrosis
_	_	GO:0031341	regulation of cell killing
_	_	GO:0031342	negative regulation of cell killing
_	_	GO:0031343	positive regulation of cell killing
_	_	GO:0031640	killing of cells of other organism
_	_	GO:0097278	complement-dependent cytotoxicity
_	GO:0002376	immune system process
_	_	GO:0001776	leukocyte homeostasis
_	_	GO:0002200	somatic diversification of immune receptors
_	_	GO:0002252	immune effector process
_	_	GO:0002253	activation of immune response
_	_	GO:0002262	myeloid cell homeostasis
_	_	GO:0002339	B cell selection
_	_	GO:0002404	antigen sampling in mucosal-associated lymphoid tissue
_	_	GO:0002440	production of molecular mediator of immune response
_	_	GO:0002507	tolerance induction
_	_	GO:0002520	immune system development
_	_	GO:0002682	regulation of immune system process
_	_	GO:0002683	negative regulation of immune system process
_	_	GO:0002684	positive regulation of immune system process
_	_	GO:0006955	immune response
_	_	GO:0019882	antigen processing and presentation
_	_	GO:0030333	antigen processing and presentation
_	_	GO:0031294	lymphocyte costimulation
_	_	GO:0035172	hemocyte proliferation
_	_	GO:0042386	hemocyte differentiation
_	_	GO:0045058	T cell selection
_	_	GO:0045321	leukocyte activation
_	_	GO:0050900	leukocyte migration
_	GO:0007610	behavior
_	_	GO:0002209	behavioral defense response
_	_	GO:0007622	rhythmic behavior
_	_	GO:0007626	locomotory behavior
_	_	GO:0007631	feeding behavior
_	_	GO:0019098	reproductive behavior
_	_	GO:0023032	multi-organism behavior
_	_	GO:0044708	single-organism behavior
_	_	GO:0044709	multi-organism behavior
_	_	GO:0048520	positive regulation of behavior
_	_	GO:0048521	negative regulation of behavior
_	_	GO:0050795	regulation of behavior
_	_	GO:0051705	multi-organism behavior
_	_	GO:0051780	behavioral response to nutrient
_	GO:0008151	cellular process
_	GO:0008152	metabolic process
_	_	GO:0006807	nitrogen compound metabolic process
_	_	GO:0007590	fat body metabolic process (sensu Insecta)
_	_	GO:0009056	catabolic process
_	_	GO:0009058	biosynthetic process
_	_	GO:0009892	negative regulation of metabolic process
_	_	GO:0009893	positive regulation of metabolic process
_	_	GO:0010166	wax metabolic process
_	_	GO:0019222	regulation of metabolic process
_	_	GO:0032259	methylation
_	_	GO:0042445	hormone metabolic process
_	_	GO:0044033	multi-organism metabolic process
_	_	GO:0044237	cellular metabolic process
_	_	GO:0044238	primary metabolic process
_	_	GO:0044710	single-organism metabolic process
_	_	GO:0071704	organic substance metabolic process
_	_	GO:0098754	detoxification
_	_	GO:1901902	tyrocidine metabolic process
_	_	GO:1902421	hydrogen metabolic process
_	GO:0009987	cellular process
_	_	GO:0000920	cell separation after cytokinesis
_	_	GO:0006996	organelle organization
_	_	GO:0010496	intercellular transport
_	_	GO:0016043	cellular component organization
_	_	GO:0019835	cytolysis
_	_	GO:0036166	phenotypic switching
_	_	GO:0044235	cellular component organization
_	_	GO:0044237	cellular metabolic process
_	_	GO:0044763	single-organism cellular process
_	_	GO:0044764	multi-organism cellular process
_	_	GO:0045229	external encapsulating structure organization
_	_	GO:0048522	positive regulation of cellular process
_	_	GO:0048523	negative regulation of cellular process
_	_	GO:0050794	regulation of cellular process
_	_	GO:0051242	positive regulation of cellular process
_	_	GO:0051243	negative regulation of cellular process
_	_	GO:0051244	regulation of cellular process
_	_	GO:0051716	cellular response to stimulus
_	_	GO:0070882	cell wall organization or biogenesis
_	_	GO:0071554	cell wall organization or biogenesis
_	_	GO:0071842	cellular component organization
_	_	GO:1902409	cell separation after cytokinesis
_	_	GO:1990748	cellular detoxification
_	_	GO:2000695	cell separation after cytokinesis
_	GO:0019952	reproduction
_	GO:0022414	reproductive process
_	_	GO:0003006	developmental process involved in reproduction
_	_	GO:0019098	reproductive behavior
_	_	GO:0022413	reproductive process in single-celled organism
_	_	GO:0044702	single organism reproductive process
_	_	GO:0044703	multi-organism reproductive process
_	_	GO:0048609	multicellular organismal reproductive process
_	_	GO:2000241	regulation of reproductive process
_	_	GO:2000242	negative regulation of reproductive process
_	_	GO:2000243	positive regulation of reproductive process
_	GO:0022610	biological adhesion
_	_	GO:0007155	cell adhesion
_	_	GO:0007302	nurse cell nucleus anchoring
_	_	GO:0022608	multicellular organism adhesion
_	_	GO:0044406	adhesion of symbiont to host
_	_	GO:0051825	adhesion of symbiont to host
_	_	GO:0051856	adhesion of symbiont to host
_	GO:0023046	signaling
_	GO:0023052	signaling
_	_	GO:0007268	synaptic transmission
_	_	GO:0023040	signaling via ionic flux
_	_	GO:0023042	signaling via protein/peptide mediator
_	_	GO:0023043	signaling via lipid mediator
_	_	GO:0023044	signaling via chemical mediator
_	_	GO:0023051	regulation of signaling
_	_	GO:0023056	positive regulation of signaling
_	_	GO:0023057	negative regulation of signaling
_	_	GO:0023060	signal transmission
_	_	GO:0023062	signal transmission via transcytosis
_	_	GO:0023065	signal transmission via blood
_	_	GO:0023066	signal transmission via vascular system
_	_	GO:0023067	signal transmission via lymphatic system
_	_	GO:0023068	signal transmission via phloem
_	_	GO:0023069	signal transmission via xylem
_	_	GO:0035636	multi-organism signaling
_	_	GO:0044700	single organism signaling
_	GO:0032501	multicellular organismal process
_	_	GO:0032504	multicellular organism reproduction
_	_	GO:0044706	multi-multicellular organism process
_	_	GO:0044707	single-multicellular organism process
_	_	GO:0051239	regulation of multicellular organismal process
_	_	GO:0051240	positive regulation of multicellular organismal process
_	_	GO:0051241	negative regulation of multicellular organismal process
_	GO:0032502	developmental process
_	_	GO:0003006	developmental process involved in reproduction
_	_	GO:0009653	anatomical structure morphogenesis
_	_	GO:0009838	abscission
_	_	GO:0009847	spore germination
_	_	GO:0022611	dormancy process
_	_	GO:0044111	development involved in symbiotic interaction
_	_	GO:0044767	single-organism developmental process
_	_	GO:0048646	anatomical structure formation involved in morphogenesis
_	_	GO:0048856	anatomical structure development
_	_	GO:0050793	regulation of developmental process
_	_	GO:0051093	negative regulation of developmental process
_	_	GO:0051094	positive regulation of developmental process
_	_	GO:0098727	maintenance of cell number
_	GO:0040007	growth
_	_	GO:0001545	primary ovarian follicle growth
_	_	GO:0001546	preantral ovarian follicle growth
_	_	GO:0001550	ovarian cumulus expansion
_	_	GO:0007117	budding cell bud growth
_	_	GO:0007150	growth pattern
_	_	GO:0016049	cell growth
_	_	GO:0030447	filamentous growth
_	_	GO:0035264	multicellular organism growth
_	_	GO:0035265	organ growth
_	_	GO:0040008	regulation of growth
_	_	GO:0042702	uterine wall growth
_	_	GO:0044110	growth involved in symbiotic interaction
_	_	GO:0045926	negative regulation of growth
_	_	GO:0045927	positive regulation of growth
_	_	GO:0048589	developmental growth
_	_	GO:0048591	cell growth
_	_	GO:0055017	cardiac muscle tissue growth
_	_	GO:0080189	primary growth
_	_	GO:0080190	lateral growth
_	GO:0040011	locomotion
_	_	GO:0031987	locomotion involved in locomotory behavior
_	_	GO:0033058	directional locomotion
_	_	GO:0036268	swimming
_	_	GO:0040012	regulation of locomotion
_	_	GO:0040013	negative regulation of locomotion
_	_	GO:0040017	positive regulation of locomotion
_	_	GO:0042330	taxis
_	_	GO:0048870	cell motility
_	_	GO:0051821	dissemination or transmission of organism from other organism involved in symbiotic interaction
_	_	GO:0052192	movement in environment of other organism involved in symbiotic interaction
_	_	GO:0060361	flight
_	GO:0043118	negative regulation of biological process
_	GO:0043119	positive regulation of biological process
_	GO:0044699	single-organism process
_	_	GO:0001788	antibody-dependent cellular cytotoxicity
_	_	GO:0001913	T cell mediated cytotoxicity
_	_	GO:0006791	sulfur utilization
_	_	GO:0006794	phosphorus utilization
_	_	GO:0007587	carbohydrate utilization
_	_	GO:0007624	ultradian rhythm
_	_	GO:0008283	cell proliferation
_	_	GO:0009758	carbohydrate utilization
_	_	GO:0015976	carbon utilization
_	_	GO:0015978	carbon utilization
_	_	GO:0016265	death
_	_	GO:0019740	nitrogen utilization
_	_	GO:0022602	ovulation cycle process
_	_	GO:0030447	filamentous growth
_	_	GO:0035592	establishment of protein localization to extracellular region
_	_	GO:0042267	natural killer cell mediated cytotoxicity
_	_	GO:0043473	pigmentation
_	_	GO:0044700	single organism signaling
_	_	GO:0044702	single organism reproductive process
_	_	GO:0044707	single-multicellular organism process
_	_	GO:0044708	single-organism behavior
_	_	GO:0044710	single-organism metabolic process
_	_	GO:0044763	single-organism cellular process
_	_	GO:0044765	single-organism transport
_	_	GO:0044767	single-organism developmental process
_	_	GO:0044802	single-organism membrane organization
_	_	GO:0046595	establishment of pole plasm mRNA localization
_	_	GO:0048121	establishment of pole plasm mRNA localization
_	_	GO:0080190	lateral growth
_	_	GO:0097278	complement-dependent cytotoxicity
_	_	GO:0098602	single organism cell adhesion
_	_	GO:1902578	single-organism localization
_	GO:0044848	biological phase
_	_	GO:0022403	cell cycle phase
_	_	GO:0022601	menstrual cycle phase
_	_	GO:0044851	hair cycle phase
_	_	GO:0060206	estrous cycle phase
_	_	GO:0072690	single-celled organism vegetative growth phase
_	GO:0046879	hormone secretion
_	_	GO:0002441	histamine secretion involved in inflammatory response
_	_	GO:0030072	peptide hormone secretion
_	_	GO:0032333	activin secretion
_	_	GO:0043396	corticotropin-releasing hormone secretion
_	_	GO:0046883	regulation of hormone secretion
_	_	GO:0046887	positive regulation of hormone secretion
_	_	GO:0046888	negative regulation of hormone secretion
_	_	GO:0048242	epinephrine secretion
_	_	GO:0060986	endocrine hormone secretion
_	GO:0048511	rhythmic process
_	_	GO:0007622	rhythmic behavior
_	_	GO:0007623	circadian rhythm
_	_	GO:0007624	ultradian rhythm
_	_	GO:0022602	ovulation cycle process
_	_	GO:0042698	ovulation cycle
_	_	GO:0050895	circadian rhythm
_	GO:0048518	positive regulation of biological process
_	_	GO:0002684	positive regulation of immune system process
_	_	GO:0009893	positive regulation of metabolic process
_	_	GO:0010884	positive regulation of lipid storage
_	_	GO:0023056	positive regulation of signaling
_	_	GO:0030711	positive regulation of border follicle cell delamination
_	_	GO:0031343	positive regulation of cell killing
_	_	GO:0032846	positive regulation of homeostatic process
_	_	GO:0040017	positive regulation of locomotion
_	_	GO:0042753	positive regulation of circadian rhythm
_	_	GO:0043902	positive regulation of multi-organism process
_	_	GO:0044089	positive regulation of cellular component biogenesis
_	_	GO:0045760	positive regulation of action potential
_	_	GO:0045848	positive regulation of nitrogen utilization
_	_	GO:0045883	positive regulation of sulfur utilization
_	_	GO:0045927	positive regulation of growth
_	_	GO:0045949	positive regulation of phosphorus utilization
_	_	GO:0048522	positive regulation of cellular process
_	_	GO:0048584	positive regulation of response to stimulus
_	_	GO:0051050	positive regulation of transport
_	_	GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity
_	_	GO:0051094	positive regulation of developmental process
_	_	GO:0051130	positive regulation of cellular component organization
_	_	GO:0051240	positive regulation of multicellular organismal process
_	_	GO:0051242	positive regulation of cellular process
_	_	GO:0051284	positive regulation of sequestering of calcium ion
_	_	GO:0051919	positive regulation of fibrinolysis
_	_	GO:0061090	positive regulation of sequestering of zinc ion
_	_	GO:1900097	positive regulation of dosage compensation by inactivation of X chromosome
_	_	GO:1900237	positive regulation of induction of conjugation with cellular fusion
_	_	GO:1900273	positive regulation of long-term synaptic potentiation
_	_	GO:1900454	positive regulation of long term synaptic depression
_	_	GO:1902474	positive regulation of protein localization to synapse
_	_	GO:1902632	positive regulation of membrane hyperpolarization
_	_	GO:1902874	positive regulation of horizontal cell localization
_	_	GO:1903666	positive regulation of asexual reproduction
_	_	GO:1903829	positive regulation of cellular protein localization
_	_	GO:1904181	positive regulation of membrane depolarization
_	_	GO:2000243	positive regulation of reproductive process
_	_	GO:2000327	positive regulation of ligand-dependent nuclear receptor transcription coactivator activity
_	_	GO:2000386	positive regulation of ovarian follicle development
_	_	GO:2000748	positive regulation of defecation rhythm
_	_	GO:2001108	positive regulation of Rho guanyl-nucleotide exchange factor activity
_	GO:0048519	negative regulation of biological process
_	_	GO:0002683	negative regulation of immune system process
_	_	GO:0009892	negative regulation of metabolic process
_	_	GO:0010888	negative regulation of lipid storage
_	_	GO:0023057	negative regulation of signaling
