Geneid	logFC
Glyma.01G006000	2.07822610607782	s
Glyma.01G011500	2.4525737885893
Glyma.01G011900	-3.30147399711293
Glyma.01G012100	-3.66959375118833
Glyma.01G021000	-8.86795188785606
Glyma.01G032600	2.23610253960442
Glyma.01G036000	-3.7753163271244
Glyma.01G053800	-2.29886786779066
Glyma.01G062400	-3.10778171636326
Glyma.01G096700	-2.39273204989496
Glyma.01G099500	2.35989594508638
Glyma.01G105000	-3.72922147940937
Glyma.01G115500	-4.44765933736886
Glyma.01G120300	3.44666978730701
Glyma.01G121209	-3.20299822364865
Glyma.01G133050	-2.68459029745086
Glyma.01G142400	-4.77957227853504
Glyma.01G172600	-3.5619418690147
Glyma.01G187700	-3.0494686762643
Glyma.01G198100	-1.91278890218778
Glyma.01G204400	-6.06822393155109
Glyma.01G215500	-2.80972717360803
Glyma.01G217700	-3.70054304455409
Glyma.01G221600	-2.19999660541509
Glyma.01G223000	-2.55065294850781
Glyma.01G239500	-2.04607645063677
Glyma.01G242600	-4.10992977500167
Glyma.01G242700	-8.28183345779038
Glyma.01G242800	-2.04840325905017
Glyma.02G001100	-2.08922290765613
Glyma.02G002100	-2.36507733105451
Glyma.02G007400	-2.0915854842742
Glyma.02G022700	-2.40267430356423
Glyma.02G028000	-2.74257578273325
Glyma.02G029900	-2.06237405299478
Glyma.02G038601	-3.31663686112551
Glyma.02G052700	-2.91717356887038
Glyma.02G053900	-3.95683812588591
Glyma.02G054200	-5.88471778544358
Glyma.02G073700	-2.74599455996733
Glyma.02G104600	-2.59225452744737
Glyma.02G121500	3.31482223793319
Glyma.02G125600	-2.77085205570627
Glyma.02G128800	-2.66243688186728
Glyma.02G156600	10.9250598580926
Glyma.02G184400	2.7796965240175
Glyma.02G186350	11.0557343368489
Glyma.02G195900	-5.72981832158658
Glyma.02G205001	-2.3671848805616
Glyma.02G227700	-1.91863670119171
Glyma.02G242200	-2.05985808673463
Glyma.02G265900	-2.77397176358302
Glyma.02G282300	-2.19799795985111
Glyma.02G309300	-2.05313879570529
Glyma.03G005800	-1.98007408718856
Glyma.03G018102	-2.7630396328938
Glyma.03G018900	2.06743086843184
Glyma.03G028000	-4.30908225685566
Glyma.03G040100	-2.01874840212948
Glyma.03G041300	-1.97897521751507
Glyma.03G042700	-2.32556437920911
Glyma.03G042800	-2.34876427985968
Glyma.03G057100	-3.73341919614339
Glyma.03G068200	-4.32614258346403
Glyma.03G078200	-1.93050184374347
Glyma.03G098600	-4.03145290092495
Glyma.03G101800	-2.08845313647803
Glyma.03G104800	-2.03318381757067
Glyma.03G113200	-8.0344714718168
Glyma.03G122200	2.04916296338444
Glyma.03G132700	-2.93885799346974
Glyma.03G141900	-3.52849028712209
Glyma.03G148300	-2.08297986032708
Glyma.03G159000	-2.32976846073278
Glyma.03G167600	-2.05159173243727
Glyma.03G181700	-2.2482590531534
Glyma.03G198600	-3.02836282201156
Glyma.03G202600	-2.33701304831756
Glyma.03G206800	-2.33576700235243
Glyma.03G222600	-4.66285268391474
