id	group1
g1	MetaVirome
g2	MetaVirome
g3	MetaVirome
g4	MetaVirome
g5	MetaVirome
g6	MetaVirome
g7	MetaVirome
g8	MetaVirome
g9	MetaVirome
g10	MetaVirome
g11	MetaVirome
g12	MetaVirome
g13	MetaVirome
g14	MetaVirome
g15	MetaVirome
g16	MetaVirome
g17	MetaVirome
g18	MetaVirome
g19	MetaVirome
g20	MetaVirome
g21	MetaVirome
g22	MetaVirome
g23	MetaVirome
g24	MetaVirome
g25	MetaVirome
g26	MetaVirome
g27	MetaVirome
g28	MetaVirome
g29	MetaVirome
g30	MetaVirome
g31	MetaVirome
g32	MetaVirome
g33	MetaVirome
g34	MetaVirome
g35	MetaVirome
g36	MetaVirome
g37	MetaVirome
g38	MetaVirome
g39	MetaVirome
g40	MetaVirome
g41	MetaVirome
g42	MetaVirome
g43	MetaVirome
g44	MetaVirome
g45	MetaVirome
g46	MetaVirome
g47	MetaVirome
g48	MetaVirome
g49	MetaVirome
g50	MetaVirome
g51	MetaVirome
g52	MetaVirome
g53	MetaVirome
g54	MetaVirome
g55	MetaVirome
g56	MetaVirome
g57	MetaVirome
g58	MetaVirome
g59	MetaVirome
g60	MetaVirome
g61	MetaVirome
g62	MetaVirome
g63	MetaVirome
g64	MetaVirome
g65	MetaVirome
g66	MetaVirome
g67	MetaVirome
g68	MetaVirome
g69	MetaVirome
g70	MetaVirome
g71	MetaVirome
g72	MetaVirome
g73	MetaVirome
g74	MetaVirome
g75	MetaVirome
g76	MetaVirome
g77	MetaVirome
g78	MetaVirome
g79	MetaVirome
g80	MetaVirome
g81	MetaVirome
g82	MetaVirome
g83	MetaVirome
g84	MetaVirome
g85	MetaVirome
g86	MetaVirome
g87	MetaVirome
g88	MetaVirome
g89	MetaVirome
g90	MetaVirome
g91	MetaVirome
g92	MetaVirome
g93	MetaVirome
g94	MetaVirome
g95	MetaVirome
g96	MetaVirome
g97	MetaVirome
g98	MetaVirome
g99	MetaVirome
g100	MetaVirome
g101	MetaVirome
g102	MetaVirome
g103	MetaVirome
g104	MetaVirome
g105	MetaVirome
g106	MetaVirome
g107	MetaVirome
g108	MetaVirome
g109	MetaVirome
g110	MetaVirome
g111	MetaVirome
g112	MetaVirome
g113	MetaVirome
g114	MetaVirome
g115	MetaVirome
g116	MetaVirome
g117	MetaVirome
g118	MetaVirome
g119	MetaVirome
g120	MetaVirome
g121	MetaVirome
g122	MetaVirome
g123	MetaVirome
g124	MetaVirome
g125	MetaVirome
g126	MetaVirome
g127	MetaVirome
g128	MetaVirome
g129	MetaVirome
g130	MetaVirome
g131	MetaVirome
g132	MetaVirome
g133	MetaVirome
g134	MetaVirome
g135	MetaVirome
g136	MetaVirome
g137	MetaVirome
g138	MetaVirome
g139	MetaVirome
g140	MetaVirome
g141	MetaVirome
g142	MetaVirome
g143	MetaVirome
g144	MetaVirome
g145	MetaVirome
g146	MetaVirome
g147	MetaVirome
g148	MetaVirome
g149	MetaVirome
g150	MetaVirome
g151	MetaVirome
g152	MetaVirome
g153	MetaVirome
g154	MetaVirome
g155	MetaVirome
g156	MetaVirome
g157	MetaVirome
g158	MetaVirome
g159	MetaVirome
g160	MetaVirome
g161	MetaVirome
g162	MetaVirome
g163	MetaVirome
g164	MetaVirome
g165	MetaVirome
g166	MetaVirome
g167	MetaVirome
g168	MetaVirome
g169	MetaVirome
g170	MetaVirome
g171	MetaVirome
g172	MetaVirome
g173	MetaVirome
g174	MetaVirome
g175	MetaVirome
g176	MetaVirome
g177	MetaVirome
g178	MetaVirome
g179	MetaVirome
g180	MetaVirome
g181	MetaVirome
g182	MetaVirome
g183	MetaVirome
g184	MetaVirome
g185	MetaVirome
g186	MetaVirome
g187	MetaVirome
g188	MetaVirome
g189	MetaVirome
g190	MetaVirome
g191	MetaVirome
g192	MetaVirome
g193	MetaVirome
g194	MetaVirome
g195	MetaVirome
g196	MetaVirome
g197	MetaVirome
g198	MetaVirome
g199	MetaVirome
g200	MetaVirome
g201	MetaVirome
g202	MetaVirome
g203	MetaVirome
g204	MetaVirome
g205	MetaVirome
g206	MetaVirome
g207	MetaVirome
g208	MetaVirome
g209	MetaVirome
g210	MetaVirome
g211	MetaVirome
g212	MetaVirome
g213	MetaVirome
g214	MetaVirome
g215	MetaVirome
g216	MetaVirome
g217	MetaVirome
g218	MetaVirome
g219	MetaVirome
g220	MetaVirome
g221	MetaVirome
g222	MetaVirome
g223	MetaVirome
g224	MetaVirome
g225	MetaVirome
g226	MetaVirome
g227	MetaVirome
g228	MetaVirome
g229	MetaVirome
g230	MetaVirome
g231	MetaVirome
g232	MetaVirome
g233	MetaVirome
g234	MetaVirome
g235	MetaVirome
g236	MetaVirome
g237	MetaVirome
g238	MetaVirome
g239	MetaVirome
g240	MetaVirome
g241	MetaVirome
g242	MetaVirome
g243	MetaVirome
g244	MetaVirome
g245	MetaVirome
g246	MetaVirome
g247	MetaVirome
g248	MetaVirome
g249	MetaVirome
g250	MetaVirome
g251	MetaVirome
g252	MetaVirome
g253	MetaVirome
g254	MetaVirome
g255	MetaVirome
g256	MetaVirome
g257	MetaVirome
g258	MetaVirome
g259	MetaVirome
g260	MetaVirome
g261	MetaVirome
g262	MetaVirome
g263	MetaVirome
g264	MetaVirome
g265	MetaVirome
g266	MetaVirome
g267	MetaVirome
g268	MetaVirome
g269	MetaVirome
g270	MetaVirome
g271	MetaVirome
g272	MetaVirome
g273	MetaVirome
g274	MetaVirome
g275	MetaVirome
g276	MetaVirome
g277	MetaVirome
g278	MetaVirome
g279	MetaVirome
g280	MetaVirome
g281	MetaVirome
g282	MetaVirome
g283	MetaVirome
g284	MetaVirome
g285	MetaVirome
g286	MetaVirome
g287	MetaVirome
g288	MetaVirome
g289	MetaVirome
g290	MetaVirome
g291	MetaVirome
g292	MetaVirome
g293	MetaVirome
g294	MetaVirome
g295	MetaVirome
g296	MetaVirome
g297	MetaVirome
g298	MetaVirome
g299	MetaVirome
g300	MetaVirome
g301	MetaVirome
g302	MetaVirome
g303	MetaVirome
g304	MetaVirome
g305	MetaVirome
g306	MetaVirome
g307	MetaVirome
g308	MetaVirome
g309	MetaVirome
g310	MetaVirome
g311	MetaVirome
g312	MetaVirome
g313	MetaVirome
g314	MetaVirome
g315	MetaVirome
g316	MetaVirome
g317	MetaVirome
g318	MetaVirome
g319	MetaVirome
g320	MetaVirome
g321	MetaVirome
g322	MetaVirome
g323	MetaVirome
g324	MetaVirome
g325	MetaVirome
g326	MetaVirome
g327	MetaVirome
g328	MetaVirome
g329	MetaVirome
g330	MetaVirome
g331	MetaVirome
g332	MetaVirome
g333	MetaVirome
g334	MetaVirome
g335	MetaVirome
g336	MetaVirome
g337	MetaVirome
