Geneid	KQGRcry	MGGQcry	PL4mw	PL4snow	QTsnow1	QTsnow2	Qycry	QYice	QYmw	TGLcry	TGLmw
g1	1311.46124	318.130005	6.735886	46.464315	0	3.398213	117.43393	22.436721	211.952193	112.81321	1.212653
g2	1071.88528	0	0	5.935788	0	0	0	0	0	0	0
g3	2229.17255	2054.33959	7.305624	21.597594	0	0	174.121688	15.574065	45.408326	75.130409	0
g4	1284.64044	0	13.021243	6.415776	0	0	0	0	5.05837	0	0
g5	1078.36339	0	0	0	0	0	0	0	0	0	0
g6	2658.97922	15.40067	0	0	0	0	3.125194	0	22.005103	339.119859	0
g7	3980.4618	0	0	0	0	0	0	0	0	0	0
g8	1159.45511	0	0	0	0	0	0	0	0	0	0
g9	1319.84654	8.43671	0	6.689191	0	0	2.996047	32.559219	15.821813	7.978058	0
g10	2825.24965	252.88982	37.729941	701.114244	212.564223	2164.49733	218.865688	315.266085	1203.96565	630.320638	371.160189
g11	4766.72205	4958.23126	5.879638	0	0	0	408.726642	18.801241	84.510469	456.084085	0
g12	1632.92716	211.846391	9.881108	34.08007	30.764184	2184.65816	385.96747	84.916097	817.6048	262.751142	26.683254
g13	3257.50899	79.904324	0	6.849029	0	0	15.338187	14.816543	16.199875	63.307375	1.25125
g14	1762.54196	0	0	5.638999	0	0	0	0	0	0	0
g15	4110.67096	131.676327	3.531508	6.960123	0	0	19.483722	0	8.231321	6.225895	0
g16	1617.39396	793.958234	0	6.390898	13.461195	0	257.619895	14.689557	60.465066	0	0
g17	7682.73771	9.286149	0	19.633822	1.723119	2.512893	612.272916	28.758407	107.713829	621.522169	0.597818
g18	12317.4275	325.989839	0	5.874242	0	0	277.574336	4.765418	46.314101	1965.20703	0
g19	697.815676	528.905123	0	0	0	0	51.419753	0	5.028563	0	0
g20	1175.10905	0	0	0	0	0	0	0	5.108082	0	0
g21	2817.48607	409.259521	13.105887	971.851016	146.215485	2304.22614	148.951684	584.973066	1524.82993	727.810956	467.758268
g22	1746.90144	0	0	0	0	0	0	0	0	0	0
