GENE	UC1	UC2	UC3	UC4	UC5	HC1	HC2	HC3	HC4	HC5
CYBA	4842	7317	6874	7159	5855	3656	4009	1462	2919	3575
RPS6	1557	5635	5989	1942	3695	1578	1591	1287	1312	1369
RACK1	734	2885	2608	976	1989	897	799	466	575	719
PARK7	332	357	459	299	342	210	205	126	143	205
NUCKS1	177	375	321	142	372	90	107	117	86	103
PARP1	146	268	308	123	139	78	70	69	63	75
GSN	3448	2202	4111	4285	3472	2040	1635	895	1440	1786
RPL10A	276	1658	1671	373	1046	309	279	243	223	274
LARP1	487	431	513	615	313	206	238	155	194	225
GADD45A	253	184	219	246	166	100	156	79	75	111
C4BPA	1193	26	87	1611	118	73	45	31	43	63
NOSIP	444	689	743	531	609	345	334	188	256	376
ENO1	1029	1505	1293	1570	1023	662	726	332	506	651
GALK1	160	136	137	212	154	77	59	38	47	104
HK3	2243	1370	688	2678	1393	689	874	303	548	590
