Geneid	RB_0d-1	RB_0d-2	RB_0d-3	SB_0d-1	SB_0d-2	SB_0d-3	RB_28d-1	RB_28d-2	RB_28d-3	SB_28d-1	SB_28d-2	SB_28d-3	RB_7d-1	RB_7d-2	RB_7d-3	SB_7d-1	SB_7d-2	SB_7d-3
PLBR_LOCUS130	0.000	0.035	0.000	0.034	0.033	0.000	1.462	1.738	0.276	49.409	66.693	55.205	0.000	0.073	0.069	0.031	1.694	0.106
PLBR_LOCUS131	0.000	0.088	0.000	0.000	0.081	0.000	1.632	2.909	0.196	47.504	56.173	55.837	0.000	0.000	0.043	0.546	3.098	0.000
PLBR_LOCUS132	0.000	0.014	0.027	0.000	0.000	0.000	0.151	0.121	0.016	3.854	9.369	7.773	0.100	0.015	0.250	0.025	0.174	0.000
PLBR_LOCUS133	0.050	0.000	0.056	0.056	0.000	0.000	5.474	11.202	1.438	177.066	182.424	176.513	0.118	0.183	0.000	1.093	11.739	0.235
PLBR_LOCUS134	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.166	3.295	1.280	0.000	0.000	0.088	0.000	0.021	0.000
PLBR_LOCUS135	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.000	0.000	0.189	0.959	0.648	0.088	0.000	0.086	0.078	0.055	0.000
PLBR_LOCUS136	0.077	0.000	0.000	0.000	0.166	0.000	3.429	4.926	1.201	172.106	188.227	152.575	0.000	0.186	0.088	0.558	10.635	0.540
PLBR_LOCUS137	0.000	0.000	0.000	0.000	0.029	0.025	1.899	2.880	0.385	33.250	28.338	41.330	0.157	0.065	0.277	0.195	1.889	0.031
PLBR_LOCUS138	0.073	0.000	0.000	0.000	0.000	0.000	2.352	3.548	0.855	67.406	56.000	71.622	0.000	0.089	0.000	0.227	4.969	0.000
PLBR_LOCUS139	0.000	0.000	0.000	0.000	0.000	0.000	0.078	0.122	0.000	0.371	0.308	0.622	0.037	0.000	0.054	0.016	0.052	0.000
PLBR_LOCUS140	0.000	0.000	0.000	0.000	0.000	0.000	0.433	0.000	0.000	0.047	1.369	2.365	0.077	0.026	0.075	0.045	0.000	0.000
PLBR_LOCUS141	0.000	0.000	0.000	0.000	0.000	0.000	0.214	0.164	0.000	2.839	3.389	2.486	0.058	0.030	0.141	0.154	0.109	0.000
