# Constructed from biom file
#OTU ID	CAKB1	CAKB2	CAKB3	CAKB4	CAKB5	CAKB6	CADZ1	CADZ2	CADZ3	CADZ4	CADZ5	CADZ6	CAA31	CAA35	CAB21	CAB22	CAB23	CAB31	CAB32	CAC31	CAC32	CAC33	CAC34	CAC36	CAKB7	CAKB8	CAKB9	CAKB10	CAKB11	CAKB12	CADZ7	CADZ8	CADZ9	CADZ10	CADZ11	CADZ12	CAIF1	CAIF2	CAIF3	CAIF5	CAIF6	taxonomy
OTU1	548.0	218.0	2062.0	5187.0	384.0	6766.0	19.0	741.0	10.0	27.0	3803.0	329.0	11581.0	19142.0	8843.0	10242.0	267.0	27371.0	23092.0	5730.0	18.0	9820.0	2477.0	16719.0	726.0	4489.0	6697.0	140.0	5.0	7491.0	2460.0	7365.0	1742.0	5310.0	1115.0	91.0	6385.0	4211.0	5730.0	4987.0	7961.0	d__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__uncultured bacterium
OTU2	144.0	7.0	483.0	1605.0	51.0	3772.0	11.0	465.0	26.0	36.0	9260.0	11639.0	3417.0	2659.0	793.0	3415.0	265.0	383.0	2810.0	8141.0	2.0	5258.0	246.0	5505.0	322.0	63.0	2109.0	7.0	6.0	2735.0	1039.0	5304.0	334.0	2014.0	186.0	13.0	1621.0	3951.0	951.0	1150.0	2794.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__Aeromonas veronii
OTU3	1626.0	1712.0	983.0	3038.0	12275.0	229.0	3170.0	2611.0	4786.0	5797.0	195.0	1073.0	188.0	339.0	478.0	45.0	1466.0	54.0	3.0	11.0	3603.0	255.0	3052.0	246.0	3306.0	4432.0	23.0	1232.0	6447.0	21.0	284.0	444.0	140.0	253.0	4006.0	6547.0	124.0	748.0	40.0	57.0	168.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas
OTU4	3527.0	558.0	2730.0	1571.0	2920.0	713.0	2343.0	1111.0	1808.0	1362.0	123.0	644.0	339.0	86.0	57.0	1.0	121.0	7.0	14.0	76.0	112.0	6.0	398.0	30.0	368.0	401.0	10.0	2147.0	2996.0	10.0	140.0	48.0	1873.0	70.0	6138.0	4920.0	97.0	452.0	14.0	90.0	40.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
OTU5	1417.0	2658.0	2548.0	997.0	870.0	680.0	3848.0	1778.0	1727.0	3537.0	1810.0	1425.0	1837.0	258.0	96.0	27.0	1220.0	76.0	25.0	185.0	184.0	30.0	2244.0	120.0	352.0	621.0	45.0	2180.0	2997.0	42.0	190.0	121.0	59.0	128.0	511.0	799.0	159.0	291.0	41.0	192.0	86.0	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium
OTU6	23.0	15.0	226.0	293.0	14.0	2434.0	6.0	102.0	1.0	1.0	324.0	30.0	494.0	315.0	2623.0	1832.0	19.0	57.0	57.0	341.0	0.0	1774.0	684.0	1223.0	89.0	359.0	3617.0	53.0	1.0	3099.0	1381.0	2128.0	1553.0	3733.0	153.0	7.0	1350.0	1233.0	1280.0	1562.0	2377.0	d__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__ZOR0006; s__uncultured bacterium
OTU7	2896.0	1512.0	3812.0	791.0	711.0	181.0	2220.0	805.0	708.0	1621.0	1012.0	593.0	855.0	196.0	145.0	32.0	726.0	54.0	32.0	58.0	265.0	5.0	2168.0	76.0	600.0	1722.0	32.0	769.0	2805.0	35.0	132.0	142.0	132.0	111.0	291.0	560.0	84.0	361.0	13.0	211.0	47.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Phyllobacterium
OTU8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17292.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas coleopterorum
OTU9	2.0	0.0	9.0	18.0	2.0	1880.0	0.0	231.0	0.0	1.0	0.0	1.0	636.0	579.0	370.0	1760.0	17.0	1033.0	1105.0	4331.0	0.0	3408.0	11.0	419.0	56.0	26.0	1390.0	1.0	0.0	1592.0	283.0	340.0	249.0	557.0	16.0	5.0	317.0	146.0	913.0	387.0	425.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uncultured bacterium
OTU10	78.0	51.0	39.0	127.0	536.0	18.0	618.0	355.0	190.0	117.0	10.0	104.0	18.0	11.0	15.0	1.0	32.0	0.0	2.0	0.0	564.0	11.0	11.0	40.0	18356.0	287.0	0.0	39.0	157.0	0.0	20.0	13.0	7.0	3.0	383.0	320.0	9.0	18.0	1.0	0.0	5.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__uncultured bacterium
