ID	CK-1	CK-2	CK-3	Cd-1	Cd-2	Cd-3	Na2-1	Na2-2	Na2-3	Se2-1	Se2-2	Se2-3
genus-28-4	0	0	0	0	0	0	0	1	1	0	0	0
ADurb.Bin063-1	3	3	1	0	0	0	0	0	0	0	0	0
Acanthopleuribacter	9	10	16	0	0	0	1	0	0	0	0	0
Acholeplasma	5	1	1	0	0	0	0	0	0	0	0	0
Acidaminobacter	2	0	0	0	0	0	0	0	0	0	0	0
Acidibacter	488	518	417	0	0	0	13	21	23	7	1	10
Acidicapsa	5	6	3	0	0	0	0	0	1	0	0	0
Acidipila	0	1	1	0	0	0	0	0	0	0	0	0
Acidisoma	2	5	1	0	0	0	0	0	0	0	0	0
Acidocella	2	0	0	0	0	0	0	0	0	0	0	0
Acidothermus	6	3	3	0	0	0	2	0	0	3	0	2
Acinetobacter	41	49	36	1	4	10	16	28	20	13	16	14
Actinomyces	1	2	0	0	0	0	3	0	1	1	0	1
Actinomycetospora	0	0	0	0	0	0	1	0	1	0	0	0
Adhaeribacter	2	2	1	0	0	0	0	0	0	0	0	0
Aerococcus	6	5	2	0	0	0	1	0	0	0	1	0
Aeromonas	54	1	2	0	0	0	0	0	3	0	0	0
Afipia	5	9	2	0	0	0	7	7	7	1	0	1
Agromyces	0	0	1	0	0	0	0	0	0	0	0	0
Alcaligenes	0	0	2	0	0	0	1	0	0	0	0	0
Alcanivorax	2	2	1	0	0	0	1	2	0	0	0	0
Algoriphagus	332	332	263	0	0	0	11	19	15	9	2	10
Aliidongia	5	2	3	0	0	0	0	1	1	0	0	0
Aliifodinibius	0	0	0	0	0	0	3	0	2	0	0	0
Aliihoeflea	41	24	64	97	108	141	90	144	114	158	147	176
Alishewanella	1	3	6	0	0	0	0	0	0	0	0	0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	22	17	21	0	0	0	4	4	2	3	1	6
Amphiplicatus	3	6	9	0	0	0	0	0	0	0	0	0
Amylibacter	0	5	3	0	0	0	0	0	0	0	0	0
Anaeromyxobacter	0	2	2	0	0	0	0	0	1	0	0	0
Aquabacterium	7	7	2	1	6	4	18	17	18	50	43	30
Aquamicrobium	13	9	28	33	55	87	40	56	55	91	70	70
Aquaspirillum	1	2	0	0	0	0	0	0	0	0	0	0
Aquibacter	3	5	4	0	0	0	0	0	1	0	0	0
Aquicella	1	0	0	0	0	0	0	0	2	0	0	0
Aquiflexum	28	37	34	0	0	0	3	6	3	1	0	2
Aquimonas	2	2	0	0	0	0	0	0	0	0	0	1
Arcicella	0	1	0	0	0	0	0	1	1	53	71	66
