name	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6	G1	G2	G3	G4	G5	G6	I1	I2	I3	I4	I5	I6	J1	J2	J3	J4	J5	J6
Lipids	1165.87	820.7	976.56	1119.08	742.55	1117.43	647.42	712.8	683.34	527.11	663.03	675.47	559.49	577.67	570.04	648.77	489.19	624.68	681.78	732.65	597.1	587.81	703.57	670.15	612.84	709.59	771.33	631.91	696.15	812.43	697.69	656.01	668.59	634.01	627.18	691.51	653.25	705.78	713.59	895.7	668.94	716.21
Acylcarnitine	3289.73	3472.21	2675.97	2511.18	2826.11	2977.09	3357.84	2545.62	2826.6	2906	2451.6	3306.43	1244.46	1879.27	1631.38	1908.08	2124.09	1861.02	2211.26	1312.34	1862.16	1790.6	1582.64	1544.41	1682.67	1577.18	1385.96	1504.82	1312.14	1355.64	1696.66	1620.68	1489.54	2047.7	2048.87	2117.05	2283.9	1801.42	1759.18	1490.42	1574.32	1474.77
Free	1628.62	564.89	608.93	664.42	663.23	664.25	429.29	564.34	620.4	644.78	363.42	645.11	136.6	123.7	145.7	123.36	371.03	355.12	153.11	235.21	386.84	127.89	119.35	135.15	337.11	298.35	167.27	152.61	146.04	178.96	157.4	166.14	157.08	157.26	547.73	466.33	459.4	489.67	274.91	173.52	203.27	189.82
Bile	64.07	74.46	39.9	24.5	43.35	23.89	107.89	119.37	301.99	122.12	113.48	164.31	68.48	308.18	240.83	626.43	218.44	99.23	929.66	50.93	157.7	150.48	123.14	226.03	69.95	80.28	125.24	111.31	125.26	74.49	90.47	147	169.66	711.15	118.36	100.68	93.65	56.37	89.72	62.51	91.18	57.38
Neurotransmitter	63.7	78.68	76.5	81.69	90.21	71.23	92.81	72.14	75.08	101.75	77.43	80.96	44.82	64.24	62.17	59.29	57.05	55.31	67.31	42.77	63.67	57.81	47.45	61.65	59.06	56.33	59.27	62.72	49.65	65.85	74.19	77.16	71.53	81.83	64.64	53.08	58.47	57.19	73.87	80.37	71.86	61.28
Amino	694.97	1189.65	920.38	796.67	915.27	941.49	1374.3	937.89	802.88	943.5	911.51	1135.64	298.84	474.53	329.27	347.58	646.88	492.34	335.41	329.5	483.62	502.88	414.09	336.89	416.36	358.41	281.19	375.75	322.81	342.89	454.32	360.85	274.22	300.27	604.18	613.59	604.11	384.04	324.98	300.24	334.78	297.96
Organic	183.32	277.97	197.54	164.59	266.88	242.15	259.88	173.25	149.64	227.61	164.31	285.8	106.1	126.21	107.54	105.83	143.36	132.56	109.45	117.13	133.82	141.23	121.97	129.99	137.21	142.58	85.06	128.24	99.21	121.41	121.54	112.46	132.42	105.5	103.87	148.68	197.55	163.8	138.68	97.12	134.66	103.61
Carbohydrates	201.82	398.34	252.46	263.99	306.68	278.28	371.62	262.13	364.17	325.81	290.1	349.59	147.77	167.19	269.61	177.56	231.1	219.31	160.87	104.92	174.72	156	141.35	187.19	195.51	147.68	110.83	155.35	124.79	127.1	148.56	163.6	169.49	180.7	160.12	205.31	322.51	143.15	197.06	119.44	119.66	105.97
Amines	94.57	119.86	122.01	95.75	133.65	119.55	75.87	69.45	79.46	80.41	74.19	64.89	45.73	61.99	55.32	59.71	59.41	59.13	54.73	56.75	61.6	52.81	52.07	53.54	59.12	76.36	69.8	82.5	55.19	55.67	64.91	67.55	60.49	70.32	63.87	72.19	79.03	64.34	87.03	71.91	74.67	68.04
Indoles	16.22	7.33	16.34	10.13	10.86	9.15	22.06	21.06	18.51	12.09	15.32	7.15	18.65	19.94	27.59	30.29	22.95	17.31	19.68	30.95	15.16	14.61	14.1	20.99	21.13	13.23	38.76	40.16	30.64	26.33	41.79	45.94	51.43	42.57	17.58	14.89	25.17	17.9	69.26	52.96	93.71	61.4
Phenols	19.16	181.78	24.14	24.62	24.31	141.04	143.25	22.37	21.28	22.9	19.43	142.74	34.72	60.15	37.14	37.44	25.15	24.66	42.61	32.07	26.17	55.65	69.8	37.89	28.36	27.47	43.97	42.9	34.31	39.7	79.65	68.5	44.91	53.03	30.94	27.25	28.12	35.12	43.03	57.61	40.3	41.83
Purines	53.25	148.56	86.69	72.07	107.68	142.2	168.93	57.05	106.49	133.79	103.94	125.55	63.56	155.55	51.62	57.53	113.65	97.38	51.08	45.5	88.85	191.82	126.34	53.89	68.05	55.89	63.54	55.22	37.49	51.49	117.75	111.36	61.17	90.07	69.24	86.47	111.03	69.02	109.6	75.29	57.59	53.09
Pyridines	76.41	100.73	87.98	71.98	97.95	75.58	74.09	72.66	76.87	87.54	69.78	62.19	37.7	52.33	51.34	51.18	58.66	47.81	48.06	40.68	61.01	48.07	42.56	52.61	48.66	44.25	48.54	72.14	70.31	35.03	54.72	65.18	59.17	59.97	50.03	46.17	52.55	48.8	49.57	56.58	70.59	71.04
Peptides	41.49	142.97	27.9	32.57	40.65	56.39	106.71	43.08	35.81	39.41	33.18	54.39	26.39	57.1	25.01	36.44	23.75	30.93	27.17	42.88	29.66	117.58	71.97	31.76	54.12	32.63	31.76	36.29	37.98	52.65	67.56	46.94	32.91	25.57	27.65	30.06	49.87	35.17	29.91	24.92	45.6	41.35
