# Constructed from biom file
#OTU ID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	taxonomy
OTU1	572.0	1880.0	1746.0	2622.0	1694.0	2272.0	1150.0	1332.0	3899.0	1766.0	1488.0	2510.0	1678.0	3092.0	2781.0	1766.0	3946.0	2209.0	1838.0	2028.0	Bacteria; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae; Succiniclasticum; uncultured rumen bacterium
OTU2	742.0	260.0	520.0	531.0	649.0	366.0	1061.0	430.0	527.0	425.0	684.0	299.0	373.0	512.0	678.0	720.0	678.0	571.0	347.0	532.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; NK4A214 group; uncultured bacterium
OTU3	659.0	176.0	568.0	457.0	634.0	342.0	679.0	103.0	628.0	243.0	366.0	62.0	841.0	487.0	485.0	338.0	711.0	286.0	239.0	230.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Ruminococcaceae; Ruminococcus; uncultured bacterium
OTU4	215.0	532.0	564.0	864.0	469.0	298.0	199.0	249.0	657.0	510.0	251.0	611.0	231.0	256.0	466.0	581.0	591.0	307.0	213.0	357.0	Bacteria; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae; Succiniclasticum; uncultured rumen bacterium
OTU5	69.0	260.0	314.0	204.0	490.0	382.0	236.0	597.0	231.0	266.0	315.0	357.0	537.0	489.0	235.0	363.0	313.0	602.0	558.0	415.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU6	52.0	305.0	389.0	185.0	367.0	473.0	145.0	566.0	255.0	197.0	381.0	348.0	564.0	613.0	328.0	324.0	241.0	403.0	444.0	418.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU7	378.0	320.0	269.0	309.0	514.0	274.0	753.0	265.0	261.0	234.0	309.0	191.0	348.0	337.0	351.0	339.0	311.0	329.0	291.0	380.0	Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae R-7 group; uncultured rumen bacterium
OTU8	35.0	137.0	292.0	156.0	475.0	276.0	164.0	613.0	271.0	316.0	307.0	271.0	383.0	465.0	179.0	222.0	176.0	313.0	434.0	364.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU9	385.0	103.0	246.0	244.0	254.0	161.0	505.0	143.0	298.0	205.0	254.0	235.0	274.0	260.0	310.0	368.0	390.0	182.0	179.0	239.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; NK4A214 group; uncultured bacterium
OTU10	44.0	243.0	353.0	108.0	233.0	352.0	93.0	321.0	136.0	155.0	218.0	227.0	352.0	450.0	231.0	192.0	214.0	335.0	408.0	219.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella
OTU11	124.0	473.0	270.0	674.0	35.0	388.0	106.0	233.0	197.0	337.0	193.0	1.0	120.0	58.0	961.0	75.0	102.0	135.0	46.0	154.0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Succinivibrionaceae; Succinivibrionaceae UCG-002; uncultured rumen bacterium
OTU12	29.0	123.0	238.0	135.0	183.0	224.0	85.0	328.0	154.0	187.0	218.0	232.0	157.0	280.0	139.0	161.0	154.0	313.0	319.0	277.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured bacterium
OTU13	30.0	204.0	215.0	88.0	132.0	254.0	87.0	321.0	113.0	115.0	130.0	187.0	256.0	343.0	180.0	189.0	193.0	247.0	311.0	186.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured bacterium
OTU14	36.0	143.0	182.0	94.0	230.0	219.0	114.0	336.0	114.0	211.0	156.0	286.0	205.0	245.0	157.0	201.0	137.0	201.0	323.0	214.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU15	54.0	111.0	241.0	125.0	121.0	139.0	123.0	197.0	109.0	133.0	90.0	300.0	259.0	393.0	135.0	418.0	175.0	148.0	342.0	187.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU16	91.0	40.0	91.0	79.0	225.0	173.0	292.0	117.0	148.0	165.0	313.0	104.0	289.0	180.0	193.0	53.0	257.0	269.0	205.0	244.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidales RF16 group; norank; uncultured rumen bacterium
OTU17	277.0	278.0	123.0	142.0	222.0	155.0	262.0	105.0	192.0	192.0	174.0	204.0	166.0	153.0	185.0	182.0	138.0	123.0	125.0	168.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Saccharofermentans; uncultured rumen bacterium
OTU18	298.0	203.0	158.0	269.0	127.0	203.0	168.0	93.0	225.0	266.0	206.0	281.0	164.0	63.0	196.0	116.0	148.0	63.0	130.0	145.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; norank; uncultured rumen bacterium
OTU19	127.0	556.0	214.0	191.0	115.0	211.0	146.0	273.0	93.0	90.0	189.0	95.0	124.0	119.0	143.0	192.0	60.0	256.0	79.0	119.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Pseudobutyrivibrio
OTU20	27.0	203.0	262.0	105.0	232.0	271.0	44.0	405.0	73.0	123.0	102.0	237.0	101.0	233.0	96.0	90.0	107.0	248.0	219.0	151.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella ruminicola 23
OTU21	19.0	85.0	194.0	80.0	214.0	174.0	87.0	192.0	108.0	94.0	144.0	218.0	340.0	290.0	97.0	135.0	96.0	190.0	312.0	143.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU22	229.0	113.0	178.0	127.0	239.0	109.0	211.0	179.0	170.0	108.0	255.0	30.0	379.0	111.0	148.0	127.0	78.0	183.0	64.0	204.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Rikenellaceae RC9 gut group; uncultured bacterium
OTU23	119.0	38.0	44.0	55.0	57.0	49.0	248.0	40.0	91.0	36.0	99.0	84.0	28.0	66.0	79.0	250.0	352.0	166.0	673.0	111.0	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia
OTU24	26.0	112.0	131.0	69.0	130.0	101.0	99.0	260.0	71.0	77.0	83.0	86.0	180.0	219.0	128.0	261.0	81.0	235.0	181.0	130.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU25	212.0	31.0	79.0	120.0	84.0	95.0	106.0	59.0	131.0	138.0	192.0	165.0	247.0	120.0	146.0	187.0	164.0	103.0	88.0	101.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; NK4A214 group; uncultured bacterium
OTU26	17.0	111.0	116.0	67.0	105.0	177.0	45.0	215.0	82.0	117.0	86.0	168.0	154.0	189.0	97.0	140.0	118.0	136.0	237.0	126.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured bacterium
OTU27	206.0	42.0	130.0	144.0	176.0	138.0	194.0	36.0	232.0	118.0	125.0	39.0	124.0	125.0	164.0	101.0	201.0	99.0	72.0	93.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Ruminococcaceae; Ruminococcus; uncultured bacterium
OTU28	380.0	99.0	167.0	172.0	63.0	75.0	118.0	94.0	172.0	83.0	147.0	68.0	37.0	97.0	80.0	114.0	101.0	139.0	106.0	166.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; UCG-005; uncultured rumen bacterium
OTU29	103.0	108.0	56.0	98.0	149.0	115.0	145.0	105.0	156.0	120.0	101.0	117.0	289.0	115.0	75.0	125.0	126.0	104.0	72.0	112.0	Bacteria; Patescibacteria; Saccharimonadia; Saccharimonadales; Saccharimonadaceae; Candidatus Saccharimonas; uncultured rumen bacterium
OTU30	356.0	41.0	85.0	53.0	208.0	53.0	218.0	77.0	133.0	51.0	216.0	67.0	168.0	133.0	80.0	124.0	111.0	64.0	91.0	96.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; NK4A214 group; uncultured bacterium
OTU31	186.0	33.0	116.0	140.0	198.0	89.0	170.0	48.0	186.0	82.0	79.0	41.0	132.0	170.0	160.0	81.0	157.0	120.0	74.0	96.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Ruminococcaceae; Ruminococcus; uncultured rumen bacterium
OTU32	25.0	94.0	114.0	87.0	61.0	91.0	50.0	148.0	54.0	75.0	59.0	130.0	130.0	169.0	76.0	237.0	95.0	100.0	274.0	119.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured bacterium
OTU33	180.0	29.0	91.0	121.0	161.0	113.0	119.0	32.0	166.0	86.0	88.0	65.0	123.0	142.0	162.0	140.0	135.0	49.0	82.0	87.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Ruminococcaceae; Ruminococcus; uncultured bacterium
OTU34	87.0	398.0	123.0	67.0	106.0	98.0	118.0	120.0	52.0	48.0	169.0	39.0	67.0	115.0	92.0	106.0	58.0	83.0	64.0	71.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Butyrivibrio
OTU35	87.0	33.0	317.0	164.0	68.0	70.0	54.0	195.0	61.0	93.0	76.0	68.0	87.0	48.0	99.0	233.0	124.0	98.0	91.0	100.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; p-251-o5; norank; uncultured rumen bacterium
OTU36	322.0	57.0	79.0	116.0	82.0	55.0	106.0	66.0	143.0	56.0	114.0	71.0	115.0	52.0	79.0	129.0	93.0	61.0	83.0	171.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; UCG-005; uncultured bacterium
OTU37	31.0	150.0	52.0	34.0	72.0	128.0	204.0	83.0	49.0	10.0	408.0	86.0	7.0	12.0	73.0	34.0	98.0	53.0	39.0	379.0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Phyllobacterium; Phyllobacterium myrsinacearum
OTU38	210.0	44.0	148.0	127.0	97.0	60.0	106.0	55.0	133.0	109.0	119.0	56.0	28.0	46.0	126.0	70.0	121.0	87.0	76.0	89.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; UCG-002; uncultured bacterium
OTU39	10.0	103.0	66.0	57.0	68.0	127.0	48.0	84.0	65.0	88.0	72.0	155.0	120.0	162.0	68.0	92.0	69.0	105.0	178.0	81.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU40	156.0	152.0	74.0	89.0	69.0	68.0	41.0	68.0	86.0	38.0	87.0	130.0	96.0	122.0	64.0	135.0	107.0	57.0	104.0	47.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Butyrivibrio
OTU41	102.0	263.0	101.0	62.0	79.0	107.0	77.0	124.0	44.0	35.0	114.0	28.0	72.0	109.0	81.0	100.0	44.0	83.0	58.0	61.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Butyrivibrio; uncultured rumen bacterium
OTU42	59.0	313.0	123.0	45.0	129.0	97.0	140.0	142.0	30.0	39.0	150.0	6.0	58.0	83.0	54.0	72.0	26.0	93.0	40.0	43.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Butyrivibrio; uncultured rumen bacterium
OTU43	142.0	51.0	106.0	59.0	113.0	53.0	92.0	88.0	100.0	47.0	141.0	26.0	178.0	55.0	65.0	61.0	35.0	119.0	33.0	141.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Rikenellaceae RC9 gut group; uncultured bacterium
OTU44	82.0	82.0	70.0	64.0	72.0	60.0	227.0	34.0	66.0	57.0	100.0	89.0	46.0	77.0	76.0	105.0	128.0	60.0	106.0	97.0	Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae R-7 group; uncultured rumen bacterium
OTU45	87.0	111.0	47.0	40.0	84.0	78.0	246.0	33.0	85.0	78.0	90.0	61.0	117.0	56.0	60.0	96.0	78.0	52.0	61.0	112.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospiraceae NK3A20 group
OTU46	287.0	24.0	113.0	138.0	16.0	53.0	79.0	49.0	215.0	31.0	193.0	14.0	20.0	69.0	127.0	27.0	61.0	70.0	85.0	65.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; F082; norank; uncultured rumen bacterium
OTU47	7.0	71.0	80.0	42.0	80.0	74.0	29.0	179.0	40.0	79.0	58.0	93.0	224.0	58.0	48.0	77.0	36.0	136.0	88.0	49.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU48	123.0	67.0	64.0	109.0	47.0	78.0	81.0	71.0	87.0	209.0	82.0	154.0	39.0	40.0	71.0	57.0	67.0	38.0	41.0	98.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; norank; uncultured rumen bacterium
OTU49	86.0	36.0	115.0	70.0	67.0	36.0	63.0	67.0	99.0	69.0	189.0	20.0	239.0	53.0	89.0	21.0	53.0	58.0	48.0	51.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; F082; norank; uncultured bacterium
OTU50	205.0	27.0	18.0	109.0	22.0	35.0	33.0	9.0	65.0	73.0	39.0	135.0	26.0	26.0	47.0	178.0	292.0	15.0	90.0	88.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; NK4A214 group; uncultured rumen bacterium
OTU51	8.0	71.0	69.0	37.0	58.0	165.0	24.0	114.0	78.0	38.0	103.0	65.0	65.0	226.0	68.0	45.0	53.0	58.0	81.0	95.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU52	168.0	26.0	88.0	83.0	70.0	47.0	124.0	53.0	97.0	71.0	117.0	49.0	40.0	42.0	99.0	96.0	79.0	49.0	51.0	89.0	Bacteria; Desulfobacterota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio
OTU53	133.0	63.0	68.0	143.0	64.0	85.0	74.0	67.0	98.0	123.0	98.0	97.0	44.0	44.0	73.0	23.0	54.0	38.0	70.0	50.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; norank; uncultured rumen bacterium
OTU54	43.0	97.0	105.0	198.0	35.0	39.0	18.0	19.0	168.0	128.0	28.0	118.0	20.0	46.0	98.0	39.0	202.0	22.0	55.0	38.0	Bacteria; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae; Succiniclasticum; uncultured rumen bacterium
OTU55	144.0	49.0	52.0	46.0	120.0	41.0	151.0	79.0	44.0	63.0	52.0	37.0	62.0	63.0	94.0	118.0	81.0	85.0	28.0	84.0	Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae R-7 group; uncultured bacterium
OTU56	62.0	153.0	108.0	40.0	64.0	81.0	65.0	121.0	44.0	34.0	82.0	10.0	65.0	94.0	65.0	92.0	30.0	94.0	42.0	56.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Butyrivibrio; uncultured bacterium
OTU57	170.0	33.0	73.0	85.0	83.0	61.0	103.0	53.0	41.0	70.0	31.0	54.0	57.0	79.0	49.0	116.0	92.0	79.0	48.0	77.0	Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae R-7 group; uncultured rumen bacterium
OTU58	135.0	58.0	51.0	62.0	65.0	80.0	54.0	67.0	65.0	193.0	69.0	85.0	69.0	31.0	100.0	41.0	60.0	61.0	31.0	86.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; norank; uncultured bacterium
OTU59	14.0	42.0	74.0	51.0	88.0	60.0	30.0	108.0	43.0	49.0	43.0	96.0	70.0	131.0	39.0	74.0	45.0	102.0	166.0	74.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU60	98.0	34.0	55.0	46.0	70.0	71.0	99.0	25.0	97.0	24.0	123.0	92.0	35.0	58.0	56.0	45.0	90.0	35.0	132.0	80.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; [Ruminococcus] gauvreauii group; uncultured bacterium
OTU61	93.0	249.0	66.0	40.0	70.0	62.0	89.0	80.0	31.0	87.0	109.0	34.0	41.0	53.0	64.0	76.0	30.0	62.0	37.0	35.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Butyrivibrio; Butyrivibrio proteoclasticus B316
OTU62	87.0	83.0	39.0	131.0	56.0	95.0	47.0	42.0	71.0	187.0	46.0	76.0	41.0	23.0	64.0	66.0	56.0	38.0	35.0	85.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; norank; uncultured rumen bacterium
OTU63	43.0	152.0	58.0	116.0	54.0	119.0	18.0	45.0	71.0	133.0	25.0	71.0	4.0	22.0	78.0	66.0	72.0	82.0	62.0	62.0	Bacteria; Patescibacteria; Gracilibacteria; Absconditabacteriales (SR1); norank; norank; uncultured rumen bacterium
OTU64	27.0	31.0	132.0	57.0	45.0	75.0	44.0	168.0	58.0	54.0	53.0	60.0	76.0	22.0	101.0	97.0	40.0	107.0	70.0	62.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotellaceae UCG-004
OTU65	28.0	43.0	109.0	127.0	38.0	56.0	14.0	64.0	69.0	63.0	36.0	178.0	47.0	27.0	76.0	119.0	101.0	53.0	73.0	63.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU66	120.0	46.0	67.0	114.0	27.0	75.0	56.0	32.0	68.0	160.0	101.0	108.0	26.0	28.0	68.0	47.0	83.0	24.0	55.0	18.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; norank; uncultured rumen bacterium
OTU67	56.0	22.0	42.0	49.0	133.0	42.0	87.0	135.0	73.0	10.0	58.0	36.0	37.0	24.0	78.0	65.0	113.0	83.0	44.0	99.0	Unclassified
OTU68	10.0	61.0	79.0	22.0	49.0	58.0	9.0	78.0	44.0	65.0	25.0	115.0	62.0	181.0	34.0	154.0	46.0	65.0	124.0	48.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU69	224.0	27.0	46.0	58.0	54.0	47.0	72.0	55.0	69.0	42.0	62.0	38.0	32.0	42.0	44.0	69.0	47.0	109.0	46.0	103.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; UCG-005; uncultured bacterium
OTU70	6.0	295.0	44.0	38.0	45.0	54.0	17.0	75.0	80.0	31.0	61.0	37.0	52.0	108.0	46.0	12.0	72.0	35.0	55.0	51.0	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Selenomonadaceae; Schwartzia; uncultured bacterium
OTU71	24.0	55.0	77.0	21.0	60.0	73.0	27.0	97.0	36.0	33.0	43.0	25.0	120.0	118.0	45.0	117.0	15.0	131.0	100.0	66.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured rumen bacterium
OTU72	12.0	109.0	68.0	49.0	34.0	142.0	19.0	57.0	29.0	84.0	42.0	63.0	26.0	98.0	31.0	52.0	37.0	120.0	116.0	54.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotellaceae Ga6A1 group; uncultured rumen bacterium
OTU73	26.0	164.0	74.0	21.0	85.0	113.0	78.0	64.0	46.0	16.0	182.0	4.0	82.0	81.0	38.0	13.0	39.0	47.0	29.0	43.0	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Selenomonadaceae; Anaerovibrio
OTU74	149.0	77.0	75.0	65.0	55.0	68.0	106.0	24.0	54.0	56.0	57.0	82.0	51.0	32.0	75.0	68.0	47.0	34.0	48.0	65.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospiraceae XPB1014 group; uncultured bacterium
OTU75	48.0	145.0	119.0	29.0	36.0	80.0	137.0	57.0	35.0	39.0	63.0	24.0	60.0	30.0	48.0	69.0	29.0	73.0	52.0	76.0	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Oribacterium; uncultured rumen bacterium
OTU76	136.0	14.0	45.0	34.0	47.0	17.0	90.0	28.0	61.0	26.0	84.0	36.0	268.0	44.0	30.0	49.0	51.0	31.0	51.0	44.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; NK4A214 group; uncultured bacterium
OTU77	24.0	63.0	74.0	44.0	32.0	75.0	25.0	70.0	32.0	68.0	37.0	100.0	66.0	98.0	52.0	79.0	69.0	47.0	136.0	62.0	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; uncultured bacterium
OTU78	115.0	38.0	62.0	58.0	98.0	35.0	121.0	32.0	59.0	55.0	54.0	47.0	50.0	61.0	61.0	70.0	92.0	37.0	40.0	61.0	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; NK4A214 group; uncultured rumen bacterium
