# Constructed from biom file
#OTU ID	DS-RE-1	DS-RE-2	DS-RE-3	DS-RE-4	DS-RE-5	DS-RE-6	DS-RL-1	DS-RL-2	DS-RL-3	DS-RL-4	DS-RL-5	DS-RL-6	DS-RS-1	DS-RS-2	DS-RS-3	DS-RS-4	DS-RS-5	DS-RS-6	SB-RE-1	SB-RE-2	SB-RE-3	SB-RE-4	SB-RE-5	SB-RE-6	SB-RL-1	SB-RL-2	SB-RL-3	SB-RL-4	SB-RL-5	SB-RL-6	SB-RS-1	SB-RS-2	SB-RS-3	SB-RS-4	SB-RS-5	SB-RS-6	taxonomy
OTU1	0.0	2.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.0	17.0	6.0	394.0	83.0	0.0	5.0	0.0	0.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Syntrophococcus; s__uncultured rumen bacterium
OTU2	1.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales BS11 gut group; g__norank; s__uncultured bacterium
OTU3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Tenericutes; c__Mollicutes; o__Mollicutes RF9; f__norank; g__norank
OTU4	1.0	0.0	1.0	0.0	0.0	0.0	10.0	21.0	7.0	18.0	1.0	8.0	22.0	9.0	17.0	30.0	18.0	13.0	3.0	2.0	3.0	0.0	0.0	0.0	7.0	9.0	8.0	2.0	2.0	4.0	25.0	41.0	22.0	5.0	3.0	8.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Eubacterium] hallii group; s__uncultured rumen bacterium
OTU5	15.0	5.0	0.0	0.0	0.0	1.0	9.0	1.0	5.0	0.0	8.0	33.0	91.0	14.0	179.0	3.0	179.0	57.0	31.0	2.0	17.0	3.0	1.0	0.0	2.0	0.0	3.0	31.0	4.0	83.0	175.0	19.0	71.0	90.0	38.0	72.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus 1
OTU6	1.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Solobacterium
OTU7	0.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	0.0	0.0	7.0	8.0	0.0	0.0	0.0	0.0	6.0	4.0	6.0	0.0	1.0	1.0	0.0	2.0	26.0	0.0	3.0	7.0	0.0	10.0	10.0	0.0	1.0	6.0	0.0	9.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae RC9 gut group; s__uncultured rumen bacterium
OTU8	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
OTU9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcaceae UCG-013; s__uncultured bacterium
OTU10	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	0.0	0.0	4.0	3.0	21.0	0.0	1.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	2.0	41.0	0.0	0.0	1.0	0.0	22.0	75.0	0.0	4.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella 1
OTU11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	3.0	1.0	1.0	1.0	5.0	1.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	3.0	7.0	1.0	2.0	3.0	4.0	d__Bacteria; p__Tenericutes; c__Mollicutes; o__Mollicutes RF9; f__norank; g__norank
OTU12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	4.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family XIII; g__[Eubacterium] nodatum group
OTU13	3.0	2.0	3.0	0.0	0.0	1.0	25.0	16.0	15.0	21.0	2.0	15.0	12.0	10.0	15.0	21.0	8.0	7.0	8.0	3.0	3.0	7.0	0.0	0.0	42.0	11.0	5.0	60.0	34.0	7.0	55.0	27.0	7.0	58.0	8.0	4.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__Christensenellaceae R-7 group; s__uncultured rumen bacterium
OTU14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae
OTU15	4.0	17.0	5.0	0.0	0.0	0.0	4.0	26.0	74.0	8.0	3.0	67.0	8.0	28.0	184.0	49.0	35.0	126.0	15.0	0.0	1.0	1.0	0.0	1.0	23.0	1.0	0.0	1.0	3.0	146.0	61.0	6.0	4.0	3.0	6.0	74.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospiraceae NK3A20 group; s__uncultured rumen bacterium
