GeneID	kegg	value
TRINITY_DN83205_c0_g1	Pathogenic Escherichia coli infection	-1.77223281258964
TRINITY_DN86885_c3_g1	Pathogenic Escherichia coli infection	1.78999443925255
TRINITY_DN74509_c0_g1	Pathogenic Escherichia coli infection	1.93948901058826
TRINITY_DN96766_c0_g1	Pathogenic Escherichia coli infection	1.15980818491317
TRINITY_DN52717_c0_g2	Pathogenic Escherichia coli infection	2.01182214379486
TRINITY_DN81655_c3_g5	Pathogenic Escherichia coli infection	1.94422358458079
TRINITY_DN30204_c0_g2	Pathogenic Escherichia coli infection	-2.04752453242517
TRINITY_DN50946_c0_g1	Pathogenic Escherichia coli infection	-1.60850431034371
TRINITY_DN82608_c1_g1	Pathogenic Escherichia coli infection	1.49358777781744
TRINITY_DN74841_c2_g1	Pathogenic Escherichia coli infection	2.33387814296965
TRINITY_DN83345_c0_g1	Pathogenic Escherichia coli infection	2.40120029341707
TRINITY_DN85975_c0_g1	Pathogenic Escherichia coli infection	3.47767423843523
TRINITY_DN43409_c0_g1	Pathogenic Escherichia coli infection	1.97252584880017
TRINITY_DN81632_c1_g1	Pathogenic Escherichia coli infection	-2.40525934758646
TRINITY_DN76736_c0_g1	Pathogenic Escherichia coli infection	-2.12116244637001
TRINITY_DN86532_c6_g1	Autoimmune thyroid disease	-1.9434159389917
TRINITY_DN46598_c1_g1	Autoimmune thyroid disease	-4.46993973566792
TRINITY_DN82784_c0_g5	Autoimmune thyroid disease	1.86189263989705
TRINITY_DN77007_c0_g1	Autoimmune thyroid disease	3.09359680217255
TRINITY_DN50689_c0_g1	Autoimmune thyroid disease	-1.36935043971056
TRINITY_DN50689_c0_g3	Autoimmune thyroid disease	3.13585299588685
TRINITY_DN77882_c1_g1	Autoimmune thyroid disease	-5.55245526649953
TRINITY_DN86583_c3_g3	Autoimmune thyroid disease	-2.91376475745121
TRINITY_DN87097_c35_g4	Autoimmune thyroid disease	-2.68791893978366
TRINITY_DN86925_c2_g1	Autoimmune thyroid disease	-1.6148894899059
TRINITY_DN71959_c0_g6	Autoimmune thyroid disease	1.99454736582618
TRINITY_DN57578_c0_g1	Cytosolic DNA-sensing pathway	2.46938454916816
TRINITY_DN83702_c0_g15	Cytosolic DNA-sensing pathway	2.79641174242644
TRINITY_DN51005_c0_g1	Cytosolic DNA-sensing pathway	-2.12250471832458
TRINITY_DN84490_c7_g1	Cytosolic DNA-sensing pathway	-11.3512982916917
TRINITY_DN85390_c2_g4	Cytosolic DNA-sensing pathway	-2.36719315776013
TRINITY_DN70451_c0_g1	Cytosolic DNA-sensing pathway	1.07441510313272
TRINITY_DN80159_c0_g1	Cytosolic DNA-sensing pathway	11.8282651797929
TRINITY_DN85543_c1_g1	Cytosolic DNA-sensing pathway	-3.20777939767538
TRINITY_DN85390_c2_g12	Cytosolic DNA-sensing pathway	-9.87245927726788
TRINITY_DN67848_c0_g1	Cytosolic DNA-sensing pathway	4.47648203872353
TRINITY_DN86532_c6_g1	Graft-versus-host disease	-1.9434159389917
TRINITY_DN46598_c1_g1	Graft-versus-host disease	-4.46993973566792
TRINITY_DN82784_c0_g5	Graft-versus-host disease	1.86189263989705
TRINITY_DN77007_c0_g1	Graft-versus-host disease	3.09359680217255
TRINITY_DN50689_c0_g1	Graft-versus-host disease	-1.36935043971056
TRINITY_DN71959_c0_g6	Graft-versus-host disease	1.99454736582618
TRINITY_DN77882_c1_g1	Graft-versus-host disease	-5.55245526649953
TRINITY_DN86583_c3_g3	Graft-versus-host disease	-2.91376475745121
TRINITY_DN87097_c35_g4	Graft-versus-host disease	-2.68791893978366
TRINITY_DN50689_c0_g3	Graft-versus-host disease	3.13585299588685
TRINITY_DN86885_c3_g1	Renal cell carcinoma	1.78999443925255
TRINITY_DN55002_c0_g2	Renal cell carcinoma	11.8653205438261
TRINITY_DN84857_c1_g1	Renal cell carcinoma	3.65101542509561
TRINITY_DN79762_c2_g1	Renal cell carcinoma	-2.67790383888597
TRINITY_DN86663_c2_g1	Renal cell carcinoma	-1.84968621042707
TRINITY_DN84384_c3_g1	Renal cell carcinoma	-4.47601138082051
TRINITY_DN57263_c0_g1	Renal cell carcinoma	1.42283595414955
TRINITY_DN77688_c0_g1	Renal cell carcinoma	-2.54869648846426
TRINITY_DN86587_c1_g2	Renal cell carcinoma	-2.23924943100434
TRINITY_DN58650_c0_g1	Renal cell carcinoma	-2.13984145778331
TRINITY_DN79762_c4_g1	Renal cell carcinoma	-2.51557515833698
TRINITY_DN84384_c3_g4	Renal cell carcinoma	-2.45625948802886
TRINITY_DN77090_c0_g1	Renal cell carcinoma	-1.89087844675106
TRINITY_DN63900_c0_g1	Renal cell carcinoma	1.20506508389168
TRINITY_DN74459_c0_g1	Renal cell carcinoma	1.55623343029152
TRINITY_DN86532_c6_g1	Allograft rejection	-1.9434159389917
TRINITY_DN46598_c1_g1	Allograft rejection	-4.46993973566792
TRINITY_DN82784_c0_g5	Allograft rejection	1.86189263989705
TRINITY_DN77007_c0_g1	Allograft rejection	3.09359680217255
TRINITY_DN50689_c0_g1	Allograft rejection	-1.36935043971056
TRINITY_DN71959_c0_g6	Allograft rejection	1.99454736582618
TRINITY_DN77882_c1_g1	Allograft rejection	-5.55245526649953
TRINITY_DN86583_c3_g3	Allograft rejection	-2.91376475745121
TRINITY_DN87097_c35_g4	Allograft rejection	-2.68791893978366
TRINITY_DN50689_c0_g3	Allograft rejection	3.13585299588685
TRINITY_DN86532_c6_g1	Type I diabetes mellitus	-1.9434159389917
TRINITY_DN46598_c1_g1	Type I diabetes mellitus	-4.46993973566792
TRINITY_DN82784_c0_g5	Type I diabetes mellitus	1.86189263989705
TRINITY_DN77007_c0_g1	Type I diabetes mellitus	3.09359680217255
TRINITY_DN50689_c0_g1	Type I diabetes mellitus	-1.36935043971056
TRINITY_DN71959_c0_g6	Type I diabetes mellitus	1.99454736582618
TRINITY_DN77882_c1_g1	Type I diabetes mellitus	-5.55245526649953
TRINITY_DN86583_c3_g3	Type I diabetes mellitus	-2.91376475745121
TRINITY_DN87097_c35_g4	Type I diabetes mellitus	-2.68791893978366
TRINITY_DN50689_c0_g3	Type I diabetes mellitus	3.13585299588685
TRINITY_DN86532_c6_g1	Cell adhesion molecules (CAMs)	-1.9434159389917
TRINITY_DN46598_c1_g1	Cell adhesion molecules (CAMs)	-4.46993973566792
TRINITY_DN80288_c1_g1	Cell adhesion molecules (CAMs)	-3.71000750228119
TRINITY_DN83553_c5_g5	Cell adhesion molecules (CAMs)	1.39990143413247
TRINITY_DN77007_c0_g1	Cell adhesion molecules (CAMs)	3.09359680217255
TRINITY_DN50689_c0_g1	Cell adhesion molecules (CAMs)	-1.36935043971056
TRINITY_DN50689_c0_g3	Cell adhesion molecules (CAMs)	3.13585299588685
TRINITY_DN81557_c0_g2	Cell adhesion molecules (CAMs)	4.91216573435078
TRINITY_DN30204_c0_g2	Cell adhesion molecules (CAMs)	-2.04752453242517
TRINITY_DN77882_c1_g1	Cell adhesion molecules (CAMs)	-5.55245526649953
TRINITY_DN82544_c1_g2	Cell adhesion molecules (CAMs)	4.21481949651638
TRINITY_DN82705_c1_g1	Cell adhesion molecules (CAMs)	-13.2971479211939
TRINITY_DN86583_c3_g3	Cell adhesion molecules (CAMs)	-2.91376475745121
TRINITY_DN47751_c0_g1	Cell adhesion molecules (CAMs)	-1.75517571899449
TRINITY_DN81632_c1_g1	Cell adhesion molecules (CAMs)	-2.40525934758646
TRINITY_DN71959_c0_g6	Cell adhesion molecules (CAMs)	1.99454736582618
TRINITY_DN87097_c35_g4	Cell adhesion molecules (CAMs)	-2.68791893978366
TRINITY_DN86989_c1_g6	Cell adhesion molecules (CAMs)	-5.28929541342503
TRINITY_DN78667_c0_g1	Cell adhesion molecules (CAMs)	-1.71222781148745
TRINITY_DN81282_c0_g2	Cell adhesion molecules (CAMs)	3.39748962797182
TRINITY_DN86532_c6_g1	Viral myocarditis	-1.9434159389917
TRINITY_DN46598_c1_g1	Viral myocarditis	-4.46993973566792
TRINITY_DN76736_c0_g1	Viral myocarditis	-2.12116244637001
TRINITY_DN77007_c0_g1	Viral myocarditis	3.09359680217255
TRINITY_DN50689_c0_g1	Viral myocarditis	-1.36935043971056
TRINITY_DN50689_c0_g3	Viral myocarditis	3.13585299588685
TRINITY_DN82573_c0_g1	Viral myocarditis	-6.75107756991122
TRINITY_DN50946_c0_g1	Viral myocarditis	-1.60850431034371
TRINITY_DN62223_c0_g1	Viral myocarditis	-3.19065313019568
TRINITY_DN77882_c1_g1	Viral myocarditis	-5.55245526649953
TRINITY_DN70634_c0_g1	Viral myocarditis	-7.81919455124375
TRINITY_DN86583_c3_g3	Viral myocarditis	-2.91376475745121
TRINITY_DN87097_c35_g4	Viral myocarditis	-2.68791893978366
TRINITY_DN71959_c0_g6	Viral myocarditis	1.99454736582618
TRINITY_DN46598_c1_g1	Herpes simplex infection	-4.46993973566792
TRINITY_DN77007_c0_g1	Herpes simplex infection	3.09359680217255
TRINITY_DN84490_c7_g1	Herpes simplex infection	-11.3512982916917
TRINITY_DN77368_c0_g1	Herpes simplex infection	-3.03472609573482
TRINITY_DN48158_c0_g1	Herpes simplex infection	-2.05986196528624
TRINITY_DN76115_c1_g2	Herpes simplex infection	5.59922934448963
TRINITY_DN77770_c0_g20	Herpes simplex infection	-1.79348613626618
TRINITY_DN39239_c0_g1	Herpes simplex infection	-3.12727886900386
TRINITY_DN50689_c0_g1	Herpes simplex infection	-1.36935043971056
TRINITY_DN50689_c0_g3	Herpes simplex infection	3.13585299588685
TRINITY_DN82573_c0_g1	Herpes simplex infection	-6.75107756991122
TRINITY_DN77882_c1_g1	Herpes simplex infection	-5.55245526649953
TRINITY_DN40858_c0_g1	Herpes simplex infection	2.11707441635864
TRINITY_DN87097_c35_g4	Herpes simplex infection	-2.68791893978366
TRINITY_DN83940_c0_g1	Herpes simplex infection	-2.36889514946542
TRINITY_DN54014_c0_g1	Herpes simplex infection	-8.62263678432226
TRINITY_DN64410_c0_g1	Herpes simplex infection	-1.33372036749618
TRINITY_DN71959_c0_g6	Herpes simplex infection	1.99454736582618
TRINITY_DN86768_c0_g3	Herpes simplex infection	-1.29890610593012
TRINITY_DN86532_c6_g1	Herpes simplex infection	-1.9434159389917
TRINITY_DN86663_c2_g1	Herpes simplex infection	-1.84968621042707
TRINITY_DN51005_c0_g1	Herpes simplex infection	-2.12250471832458
TRINITY_DN86583_c3_g3	Herpes simplex infection	-2.91376475745121
TRINITY_DN82491_c2_g1	Herpes simplex infection	2.22417672331191
TRINITY_DN66681_c2_g1	Herpes simplex infection	3.3376042401868
TRINITY_DN46598_c1_g1	Viral carcinogenesis	-4.46993973566792
TRINITY_DN77007_c0_g1	Viral carcinogenesis	3.09359680217255
TRINITY_DN95724_c0_g1	Viral carcinogenesis	-3.72230980193951
TRINITY_DN86339_c0_g3	Viral carcinogenesis	-2.15653777995019
TRINITY_DN86339_c0_g1	Viral carcinogenesis	-4.76351487684781
TRINITY_DN78635_c1_g1	Viral carcinogenesis	2.77035293162428
TRINITY_DN45341_c0_g1	Viral carcinogenesis	-3.55296577803632
TRINITY_DN87054_c2_g5	Viral carcinogenesis	-4.19284974835685
TRINITY_DN86885_c3_g1	Viral carcinogenesis	1.78999443925255
TRINITY_DN76846_c0_g1	Viral carcinogenesis	2.01899893449771
TRINITY_DN39239_c0_g1	Viral carcinogenesis	-3.12727886900386
TRINITY_DN84857_c1_g1	Viral carcinogenesis	3.65101542509561
TRINITY_DN50689_c0_g1	Viral carcinogenesis	-1.36935043971056
TRINITY_DN50689_c0_g3	Viral carcinogenesis	3.13585299588685
TRINITY_DN82573_c0_g1	Viral carcinogenesis	-6.75107756991122
TRINITY_DN77882_c1_g1	Viral carcinogenesis	-5.55245526649953
TRINITY_DN84091_c0_g1	Viral carcinogenesis	-10.4529027101545
TRINITY_DN85271_c0_g2	Viral carcinogenesis	-2.62359593237009
TRINITY_DN40858_c0_g1	Viral carcinogenesis	2.11707441635864
TRINITY_DN87097_c35_g4	Viral carcinogenesis	-2.68791893978366
TRINITY_DN71959_c0_g6	Viral carcinogenesis	1.99454736582618
TRINITY_DN79986_c1_g7	Viral carcinogenesis	1.75669448830493
TRINITY_DN86532_c6_g1	Viral carcinogenesis	-1.9434159389917
TRINITY_DN83698_c3_g2	Viral carcinogenesis	3.5649868192679
TRINITY_DN85175_c3_g1	Viral carcinogenesis	-1.77157643518112
TRINITY_DN86663_c2_g1	Viral carcinogenesis	-1.84968621042707
TRINITY_DN51005_c0_g1	Viral carcinogenesis	-2.12250471832458
TRINITY_DN86583_c3_g3	Viral carcinogenesis	-2.91376475745121
TRINITY_DN47271_c0_g13	Viral carcinogenesis	12.6903223666698
TRINITY_DN66681_c2_g1	Viral carcinogenesis	3.3376042401868
TRINITY_DN35678_c0_g1	DNA replication	2.24191779287963
TRINITY_DN75529_c0_g2	DNA replication	1.61854841677573
TRINITY_DN84838_c2_g12	DNA replication	-7.25989871660919
TRINITY_DN72483_c0_g2	DNA replication	2.598259465113
TRINITY_DN48852_c0_g1	DNA replication	1.90900272178639
