B1	B2	B3	B4	B5	B6
0.196	0.126	0.120	0.976	0.988	1.283
55.018	58.374	53.422	22.873	24.851	24.032
1.328	1.520	0.920	13.337	14.378	11.228
0.414	0.432	0.168	3.427	4.692	3.466
4.530	4.583	4.915	0.705	0.791	0.989
0.095	0.126	0.131	1.342	1.411	0.901
0.222	0.235	0.171	1.646	2.002	2.184
0.876	1.029	1.084	4.773	5.004	4.080
1.080	1.072	0.969	3.740	3.888	5.319
4.053	2.874	4.155	14.612	15.778	11.079
10.061	10.167	10.717	3.834	3.005	2.814
0.127	0.094	0.078	0.693	0.693	1.115
2.077	2.149	2.324	9.642	9.420	10.050
0.265	0.368	0.372	1.669	2.047	2.135
0.156	0.134	0.224	4.180	4.185	5.615
1.068	0.992	1.078	0.000	0.029	0.000
0.201	0.356	0.371	1.670	1.235	1.221
0.054	0.057	0.071	7.460	6.775	6.440
6.025	7.140	6.789	2.832	2.921	3.848
6.296	6.435	6.205	0.710	0.678	0.538
10.359	10.051	9.101	4.209	4.425	5.597
1.599	1.526	1.941	9.617	9.486	10.252
27.304	25.555	27.726	5.176	6.108	5.770
0.457	0.445	0.327	4.530	3.841	4.177
68.724	67.858	70.063	29.664	32.327	33.421
