ID	CK-1	CK-2	CK-3	Cd-1	Cd-2	Cd-3	Na2-1	Na2-2	Na2-3	Se2-1	Se2-2	Se2-3
genus-28-4	0	0	0	0	0	0	0	1	1	0	0	0
Afipia	5	9	2	0	0	0	7	7	7	1	0	1
Agromyces	0	0	1	0	0	0	0	0	0	0	0	0
Alcaligenes	0	0	2	0	0	0	1	0	0	0	0	0
Alcanivorax	2	2	1	0	0	0	1	2	0	0	0	0
Algoriphagus	332	332	263	0	0	0	11	19	15	9	2	10
Aliidongia	5	2	3	0	0	0	0	1	1	0	0	0
Aliifodinibius	0	0	0	0	0	0	3	0	2	0	0	0
Aliihoeflea	41	24	64	97	108	141	90	144	114	158	147	176
Asticcacaulis	1	1	1	0	0	0	0	0	1	0	0	0
Azoarcus	17	11	19	0	0	0	1	6	2	0	1	0
Azospira	121	146	86	0	0	0	7	5	9	2	0	1
Azospirillum	3	2	1	0	0	0	0	0	2	2	0	2
B48	4	8	6	0	0	0	3	0	0	0	0	0
BD1-7 clade	0	0	0	0	0	0	1	0	0	0	0	0
Bacillus	10	10	6	0	0	0	6	16	9	2	1	6
Bacteriovorax	1	0	2	0	0	0	0	0	0	0	0	1
Bacteroides	0	0	0	0	0	0	2	0	1	0	0	0
Bdellovibrio	46	49	43	0	0	0	1	1	7	3	1	2
Belliella	1	1	1	0	0	0	0	0	0	0	0	0
Bifidobacterium	1	2	0	0	0	0	0	0	0	0	0	0
Blastococcus	0	6	2	0	0	0	0	0	0	1	0	1
Blastomonas	1	2	0	0	1	4	0	0	1	0	0	0
Blautia	2	2	0	0	0	0	0	0	0	1	0	3
Bosea	0	3	2	0	0	0	0	5	4	1	4	0
Brachybacterium	2	6	4	0	0	0	0	3	0	4	2	2
Bradyrhizobium	24	27	24	1	0	4	5	22	14	5	3	0
Brevibacillus	0	0	0	0	0	0	0	3	1	0	0	0
Brevibacterium	1	1	4	0	0	0	2	0	3	1	1	1
Brevundimonas	17	16	3	0	0	1	11	10	7	3	7	3
Bryobacter	7	6	6	0	0	0	1	0	0	0	0	0
Bryocella	1	3	1	0	0	0	0	0	0	0	0	0
CHKCI001	0	1	0	0	0	0	1	1	0	0	0	0
