Geneid	A05-12-1	A05-12-2	A05-12-3	A05-16-2	A05-16-3	A05-16
Glyma.01G000100	1.044	1.198	1.478	3.025	1.910	2.279
Glyma.01G000137	5.897	4.987	4.199	13.884	11.448	10.103
Glyma.01G000174	1.129	0.920	0.885	3.680	3.280	2.219
Glyma.01G000211	2.517	1.770	1.680	3.112	3.986	2.797
Glyma.01G000248	3.594	2.251	2.031	4.230	4.069	4.587
Glyma.01G000285	1.213	0.871	1.132	1.820	2.122	1.682
Glyma.01G000322	0.842	0.809	0.451	0.921	0.895	1.064
Glyma.01G000359	3.219	3.740	3.737	3.905	4.600	5.143
Glyma.01G000400	3.248	3.691	3.372	4.344	3.958	4.922
Glyma.01G000600	2.254	2.009	1.501	3.311	2.972	3.489
Glyma.01G000900	3.065	3.011	3.203	3.572	3.246	3.366
Glyma.01G001000	5.081	5.223	5.876	4.908	4.648	5.701
Glyma.01G001100	5.259	5.154	5.217	5.334	5.357	5.415
Glyma.01G001150	0.361	0.000	0.477	0.691	0.163	0.237
Glyma.01G001200	0.170	0.122	0.163	0.325	0.375	0.364
Glyma.01G001300	7.212	7.984	7.524	5.971	5.614	6.147
Glyma.01G001350	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G001450	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G001500	0.081	0.198	0.125	0.335	0.328	0.265
Glyma.01G001600	1.367	1.393	1.108	2.925	2.377	2.861
Glyma.01G001700	2.118	1.749	1.602	5.188	3.775	4.368
Glyma.01G001800	0.226	0.204	0.372	0.050	0.071	0.026
Glyma.01G001900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G002000	23.029	22.651	24.396	54.587	56.738	51.816
Glyma.01G002100	3.503	3.645	2.844	2.542	2.264	2.264
Glyma.01G002200	1.612	1.777	1.497	2.074	1.782	1.896
Glyma.01G002250	1.300	1.376	1.050	1.298	0.957	1.192
Glyma.01G002300	0.000	0.000	0.000	0.017	0.000	0.000
Glyma.01G002400	15.154	13.843	14.035	1.112	1.363	0.941
Glyma.01G002501	4.006	3.908	3.749	0.300	0.414	0.260
Glyma.01G002600	8.739	8.556	8.479	5.296	5.683	6.356
Glyma.01G002700	7.350	7.987	8.204	9.435	10.690	10.568
Glyma.01G002800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G002902	16.582	16.764	16.949	15.111	14.503	14.100
Glyma.01G003000	43.352	43.179	46.874	0.743	0.434	0.763
Glyma.01G003100	2.804	2.629	2.946	2.962	3.089	3.043
Glyma.01G003200	0.150	0.398	0.199	0.288	0.475	0.690
Glyma.01G003300	0.023	0.085	0.061	0.030	0.000	0.000
Glyma.01G003400	3.800	3.800	3.873	4.397	4.408	4.475
Glyma.01G003450	0.000	0.000	0.000	0.066	0.047	0.000
Glyma.01G003500	0.068	0.083	0.000	0.000	0.031	0.000
Glyma.01G003600	1.596	1.196	1.548	2.274	1.559	2.003
Glyma.01G003700	4.145	3.959	4.294	3.582	3.877	3.294
Glyma.01G003800	6.370	6.410	6.401	6.609	7.556	7.157
Glyma.01G003900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G004000	0.101	0.000	0.030	0.172	0.333	0.220
Glyma.01G004100	1.521	1.449	1.474	3.352	2.317	3.430
Glyma.01G004200	0.788	0.798	0.933	18.502	15.553	18.800
Glyma.01G004300	24.759	27.176	27.860	20.138	19.811	20.241
Glyma.01G004500	4.374	4.947	4.973	5.954	5.536	6.325
Glyma.01G004600	0.704	0.397	0.382	0.104	0.122	0.142
Glyma.01G004700	0.278	0.339	0.223	0.676	0.501	0.529
Glyma.01G004800	0.055	0.000	0.072	0.175	0.197	0.099
Glyma.01G004900	0.041	0.067	0.097	0.088	0.148	0.180
Glyma.01G005000	5.931	5.534	5.930	20.554	27.111	23.526
Glyma.01G005100	0.167	0.272	0.262	0.000	0.000	0.024
Glyma.01G005200	0.620	0.550	0.539	9.718	9.609	8.813
Glyma.01G005300	6.167	6.680	7.442	8.285	8.469	7.790
Glyma.01G005400	25.795	26.277	26.068	18.841	18.549	18.069
Glyma.01G005500	0.322	0.234	0.355	0.126	0.195	0.195
Glyma.01G005600	0.174	0.239	0.217	0.120	0.052	0.057
Glyma.01G005800	0.348	0.277	0.240	0.096	0.191	0.040
Glyma.01G005900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G006000	1.819	1.783	1.581	15.941	12.052	16.377
Glyma.01G006100	8.479	8.509	8.112	10.138	10.105	11.844
Glyma.01G006200	10.714	12.382	10.171	31.531	47.837	33.148
Glyma.01G006300	0.520	0.000	0.000	0.000	0.821	0.511
Glyma.01G006400	5.684	6.204	5.858	5.964	5.788	5.453
Glyma.01G006500	0.739	0.849	0.795	1.940	2.105	1.928
Glyma.01G006600	2.369	2.519	2.037	3.966	3.541	4.336
Glyma.01G006700	1.125	0.881	1.068	5.957	6.748	5.327
Glyma.01G006800	0.789	0.885	0.894	0.041	0.015	0.042
Glyma.01G006900	9.559	11.051	11.255	12.962	12.745	13.163
Glyma.01G007000	0.421	0.386	0.570	0.345	0.447	0.492
Glyma.01G007100	0.000	0.000	0.000	0.101	0.321	0.181
Glyma.01G007200	7.944	7.369	7.676	3.781	3.529	3.370
Glyma.01G007300	1.265	1.159	1.102	1.181	0.930	1.154
Glyma.01G007400	0.485	0.518	0.534	3.505	3.091	3.928
Glyma.01G007500	0.022	0.018	0.013	0.197	0.226	0.337
Glyma.01G007600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G007700	3.108	3.077	3.299	1.606	1.803	2.013
Glyma.01G007650	0.421	0.000	0.000	0.269	0.569	1.104
Glyma.01G007800	0.382	0.304	0.376	0.170	0.176	0.291
Glyma.01G007900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G008000	2.269	2.844	2.763	2.056	1.507	2.151
Glyma.01G008100	0.725	1.025	0.689	1.216	1.152	1.200
Glyma.01G008200	0.000	0.008	0.006	0.016	0.006	0.033
Glyma.01G008300	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G008400	1.158	1.307	1.361	3.825	3.035	2.826
Glyma.01G008500	56.659	56.762	56.523	58.425	53.799	55.352
Glyma.01G008600	6.146	6.130	5.773	6.017	9.422	6.028
Glyma.01G008700	0.294	0.259	0.331	0.792	0.545	0.503
Glyma.01G008800	4.500	4.555	4.021	9.827	10.167	9.166
Glyma.01G008900	2.737	3.040	2.917	4.208	3.489	4.323
Glyma.01G009000	0.078	0.158	0.228	0.165	0.093	0.068
Glyma.01G009100	0.023	0.014	0.020	0.015	0.010	0.075
Glyma.01G009200	49.181	51.470	48.969	8.931	5.035	7.758
Glyma.01G009300	9.361	8.006	8.508	8.668	7.982	8.854
Glyma.01G009400	1.439	1.475	1.364	2.776	2.627	3.279
Glyma.01G009500	0.914	0.468	0.806	1.090	0.904	0.657
Glyma.01G009600	0.822	0.794	0.860	1.244	0.844	1.152
Glyma.01G009700	2.603	2.505	2.371	0.110	0.199	0.016
Glyma.01G009800	6.387	6.337	4.996	4.857	5.486	4.793
Glyma.01G009900	7.096	6.433	6.585	7.235	6.113	7.207
Glyma.01G010000	0.900	1.358	1.057	0.797	0.923	0.786
Glyma.01G010100	1.318	1.324	1.452	1.371	1.243	1.488
Glyma.01G010200	242.476	243.196	251.163	78.265	78.346	79.015
Glyma.01G010300	11.749	12.564	11.870	6.980	5.301	6.729
Glyma.01G010400	7.641	7.219	7.455	10.737	11.886	10.948
Glyma.01G010500	0.474	0.589	0.452	0.843	0.729	0.846
Glyma.01G010600	18.924	19.047	21.263	30.715	45.989	30.979
Glyma.01G010700	0.000	0.007	0.000	0.038	0.038	0.031
Glyma.01G010800	1.234	1.317	1.115	2.539	2.337	2.568
Glyma.01G010900	2.853	2.899	3.085	3.546	3.652	2.701
Glyma.01G011000	1.252	1.444	1.196	0.133	0.125	0.046
Glyma.01G011100	8.017	9.928	10.293	8.203	5.398	6.870
Glyma.01G011200	2.631	2.667	2.468	2.669	2.387	2.813
Glyma.01G011300	5.590	6.077	5.680	2.447	2.465	2.586
Glyma.01G011400	1.573	1.921	1.516	2.883	1.019	2.575
Glyma.01G011500	0.142	0.157	0.250	0.016	0.000	0.000
Glyma.01G011600	0.039	0.000	0.070	0.168	0.261	0.121
Glyma.01G011700	0.233	0.320	0.168	0.325	0.357	0.259
Glyma.01G011800	0.000	0.000	0.000	0.027	0.000	0.000
Glyma.01G011900	1.637	1.772	1.417	0.025	0.000	0.013
Glyma.01G012000	0.270	0.316	0.207	0.000	0.005	0.038
Glyma.01G012100	2.808	2.777	2.765	0.016	0.011	0.000
Glyma.01G012200	0.029	0.036	0.013	0.056	0.053	0.019
Glyma.01G012300	2.597	2.254	2.683	3.942	3.008	4.096
Glyma.01G012400	7.576	7.118	8.107	7.231	7.012	7.965
Glyma.01G012500	7.625	6.955	6.842	11.964	12.599	11.818
Glyma.01G012700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G012800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G013000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G013100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G013200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G013300	0.000	0.000	0.000	0.000	0.000	0.012
Glyma.01G013500	4.618	4.143	4.434	6.475	5.060	5.924
Glyma.01G013600	3.296	3.543	3.480	4.090	4.295	3.850
Glyma.01G013800	0.465	0.518	0.527	1.090	1.496	1.038
Glyma.01G013900	2.386	2.559	2.440	33.402	34.556	34.314
Glyma.01G014000	0.207	0.188	0.135	0.490	0.442	0.232
Glyma.01G014100	0.629	0.621	0.672	0.000	0.022	0.000
Glyma.01G014200	2.735	2.468	2.774	3.032	2.304	3.295
Glyma.01G014400	5.524	5.406	6.233	7.618	6.940	6.836
Glyma.01G014500	1.224	1.457	1.173	2.692	2.702	2.645
Glyma.01G014600	0.742	0.664	0.762	1.142	1.814	1.444
Glyma.01G014700	2.967	2.585	2.574	1.973	1.775	2.159
Glyma.01G014800	4.514	3.327	4.665	3.308	3.297	2.923
Glyma.01G014900	7.757	7.251	7.235	11.234	10.045	10.996
Glyma.01G015000	26.103	24.873	23.153	28.955	28.027	30.063
Glyma.01G015100	34.087	32.371	33.602	32.318	29.307	30.185
Glyma.01G015200	0.128	0.115	0.316	0.326	0.292	0.190
Glyma.01G015300	3.314	2.710	3.416	3.653	4.429	3.569
Glyma.01G015400	27.662	29.072	30.716	6.918	11.188	7.811
Glyma.01G015500	8.274	8.533	7.860	8.392	7.500	8.465
Glyma.01G015600	2.396	2.069	2.048	1.312	1.538	1.823
Glyma.01G015700	0.520	0.451	0.976	1.027	1.058	0.989
Glyma.01G015800	0.019	0.000	0.000	0.000	0.034	0.000
Glyma.01G015900	4.838	4.311	4.368	6.676	7.522	7.631
Glyma.01G016000	0.298	0.509	0.367	1.821	2.038	1.871
Glyma.01G016100	0.297	0.242	0.161	0.417	0.322	0.439
Glyma.01G016200	1.502	1.174	1.589	4.061	3.285	3.700
Glyma.01G016300	2.783	2.384	2.379	6.038	6.026	5.822
Glyma.01G016400	0.898	0.932	1.002	1.895	1.798	2.114
Glyma.01G016500	7.835	8.007	7.365	4.902	4.352	5.043
Glyma.01G016600	0.018	0.000	0.016	0.069	0.049	0.142
Glyma.01G016700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G016800	15.959	15.251	16.845	15.539	14.366	16.121
Glyma.01G016900	2.754	3.134	2.927	4.587	4.546	5.092
Glyma.01G017000	9.041	9.565	8.297	12.451	12.285	13.943
