Geneid	Aa	Bb	Cc	Dd	Ee
PLEOSDRAFT_1098468	0	0	12.061	0	0
PLEOSDRAFT_1031339	39.896	4.964	12.303	72.141	106.405
PLEOSDRAFT_1080067	0.663	0.372	1.657	0	1.426
PLEOSDRAFT_1110163	16.664	5.332	7.929	5.053	28.145
PLEOSDRAFT_19514	0.56	0.627	0	1.784	0
PLEOSDRAFT_20823	0	0.617	0	0.584	0
PLEOSDRAFT_1087490	14.645	1.822	4.065	22.452	10.494
PLEOSDRAFT_1098479	18.174	1.796	0	4.539	7.469
PLEOSDRAFT_17401	0	0	0	0	1.566
PLEOSDRAFT_1018781	0.443	0	0.738	0	1.429
PLEOSDRAFT_1098482	0.3	0	0.5	0.318	0
PLEOSDRAFT_1080075	2.449	0	2.039	1.299	1.316
PLEOSDRAFT_1110166	1.617	1.207	0.898	5.149	7.531
PLEOSDRAFT_1098485	0.899	0	0	2.862	2.899
PLEOSDRAFT_1032088	16.209	6.885	1.862	29.068	22.227
PLEOSDRAFT_1098487	1.873	0.524	0	1.491	1.51
PLEOSDRAFT_1091124	8.913	2.304	1.142	31.29	7.369
PLEOSDRAFT_1073059	2.857	0	0	3.032	1.535
PLEOSDRAFT_1073060	3.673	0	0	3.898	1.316
PLEOSDRAFT_153825	0	0.334	0.995	0	0
PLEOSDRAFT_1095146	1.325	0	0	7.033	4.273
PLEOSDRAFT_165076	4.118	1.318	4.899	4.371	2.529
PLEOSDRAFT_165073	0	0	1.015	0	0
PLEOSDRAFT_153815	0	0	0	0.679	0
PLEOSDRAFT_153812	1.413	0	1.176	1.499	3.037
PLEOSDRAFT_1080092	8.732	1.087	1.616	26.773	26.069
PLEOSDRAFT_1069152	0	0	0	4.419	0
PLEOSDRAFT_1073064	0.857	0	0	2.426	2.456
PLEOSDRAFT_1031192	6.617	0	0	7.023	45.717
PLEOSDRAFT_1060326	46.589	7.73	6.896	115.013	50.816
PLEOSDRAFT_1033954	5.979	0	0	7.933	3.213
PLEOSDRAFT_153796	0	0	2.173	0	0
PLEOSDRAFT_165057	0	1.129	0	0	2.167
PLEOSDRAFT_1033008	1.459	3.472	4.859	4.451	2.94
PLEOSDRAFT_1098528	0.312	0.699	0.52	0.662	1.006
PLEOSDRAFT_1024855	1.54	0	0	4.902	3.309
PLEOSDRAFT_1080104	1.989	1.671	4.969	2.639	1.069
PLEOSDRAFT_1098530	0	0	0	0.832	2.527
PLEOSDRAFT_1080105	4.12	0.923	0	4.373	4.428
PLEOSDRAFT_153783	0.31	0.348	0	0	0.334
PLEOSDRAFT_1060331	1	0.373	0.833	2.301	0.896
PLEOSDRAFT_1098534	0	2.468	0	1.559	1.579
PLEOSDRAFT_1110177	0.319	3.935	1.064	4.746	1.716
PLEOSDRAFT_1087496	5.778	2.157	1.604	13.286	12.42
PLEOSDRAFT_1098537	0	1.337	0.663	0	0
