id	Acidobacteria	Actinobacteria	Bacteria_Unclassified	Bacteroidetes	Chloroflexi	Cyanobacteria	Deferribacteres	Firmicutes	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Tenericutes	Unclassified	Verrucomicrobia
MS11-1	1	31	0	324	1	12	0	27751	3	1	0	66	183	0	4
MS11-2	0	7	0	4130	2	21	0	23860	0	1	0	290	48	2	16
MS11-3	0	21	0	2178	0	52	0	25460	0	0	0	351	313	2	0
MS11-4	0	50	0	1208	0	69	0	26103	0	0	0	657	281	8	1
MS11-5	0	21	0	1879	0	402	0	25113	2	0	0	700	255	2	3
MS11-6	0	11	0	3355	0	33	0	24145	5	0	2	803	20	0	3
MS11-7	0	8	1	2475	0	16	0	25533	1	0	0	148	191	1	3
MS11-8	0	8	0	2389	0	45	0	25526	0	0	0	260	120	0	29
MS31-1	0	11	0	2825	0	46	0	24846	3	0	0	420	223	0	3
MS31-2	0	7	0	2394	0	60	0	25277	0	0	0	290	343	5	1
MS31-3	0	3	0	3000	0	19	0	25048	0	0	0	244	55	2	6
MS31-4	0	15	0	575	0	3	0	27151	4	0	0	448	181	0	0
MS31-5	0	10	0	7574	0	28	0	20434	3	0	0	101	39	0	188
MS31-6	0	12	0	3474	0	102	0	23317	1	0	0	567	451	4	449
MS31-7	0	10	0	4748	0	28	0	23175	0	0	0	278	137	0	1
MS31-8	0	9	2	3169	0	16	0	24359	1	0	0	295	525	1	0
MS41-1	0	8	0	5131	0	6	0	22471	6	0	0	391	357	4	3
MS41-2	0	38	0	5676	0	203	0	22103	13	0	0	225	54	3	62
MS41-3	0	16	0	2067	0	81	0	25831	2	0	0	222	138	12	8
MS41-4	0	4	0	1829	0	17	0	26053	1	3	0	275	192	1	2
MS41-5	0	12	0	658	0	5	0	26547	0	0	0	1062	86	5	2
MS41-6	0	6	0	5564	0	114	0	19893	0	0	0	132	667	12	1989
MS41-7	0	12	0	2420	0	46	0	24448	0	0	0	717	558	0	176
MS41-8	0	11	0	3935	0	86	0	22141	0	0	0	437	622	2	1143
MS51-1	0	7	0	1197	0	42	0	26607	1	0	0	236	277	8	2
MS51-2	0	8	0	4709	0	44	0	23323	1	0	0	158	130	1	3
MS51-3	0	7	0	7643	0	67	0	20338	9	0	0	72	76	3	162
MS51-4	0	6	0	5821	0	2	0	21967	0	0	0	356	225	0	0
MS51-5	0	4	0	10459	0	38	0	17219	0	0	0	384	269	2	2
MS51-6	0	2	0	4341	0	501	1	21850	0	0	0	1394	288	0	0
MS51-7	0	11	0	4941	0	12	0	22940	0	0	0	364	106	1	2
MS51-8	0	6	0	2436	0	59	0	25324	1	0	0	154	395	2	0
MS61-1	0	33	0	2807	0	38	0	24523	2	0	0	611	361	0	2
MS61-2	0	8	0	4344	0	73	1	23075	5	0	0	274	597	0	0
MS61-3	0	53	0	11598	0	18	0	16366	3	0	0	126	118	1	94
MS61-4	0	33	0	4410	0	16	0	23337	0	0	0	408	171	1	1
MS61-5	0	20	0	8349	0	87	0	19031	0	0	0	427	463	0	0
MS61-6	0	8	0	7906	0	69	0	19529	9	0	0	72	85	0	699
MS61-7	0	20	0	1278	0	7	0	26453	7	0	0	331	278	0	3
MS61-8	0	29	0	1972	0	43	0	25870	1	0	0	177	284	1	0
