#SampleID	Group
chemoheterotrophy	group1
aerobic_chemoheterotrophy	group1
fermentation	group1
respiration_of_sulfur_compounds	group1
nitrate_reduction	group1
iron_respiration	respiration
nitrogen_respiration	respiration
nitrate_respiration	respiration
sulfate_respiration	respiration
phototrophy	group1
photoheterotrophy	group1
chlorate_reducers	group1
nitrogen_fixation	group1
methylotrophy	Other
xylanolysis	Other
dark_oxidation_of_sulfur_compounds	Other
sulfur_respiration	respiration
nitrification	Other
ureolysis	Other
methanol_oxidation	Other
sulfite_respiration	respiration
dark_hydrogen_oxidation	group2
nitrite_respiration	respiration
nitrate_denitrification	denitrification
nitrite_denitrification	denitrification
nitrous_oxide_denitrification	denitrification
denitrification	denitrification
predatory_or_exoparasitic	group2
hydrocarbon_degradation	group2
methanotrophy	group2
