SampleID	Group
B17-12-1	B17-12
B17-12-2	B17-12
B17-12-3	B17-12
B17-16-2	B17-16
B17-16-3	B17-16
B17-16	B17-16
B17-6-1	B17-6
B17-6-2	B17-6
B17-6-3	B17-6
C02-12-1	C02-12
C02-12-2	C02-12
C02-12-3	C02-12
C02-16-2	C02-16
C02-16-3	C02-16
C02-16	C02-16
C02-6-1	C02-6
C02-6-2	C02-6
C02-6-3	C02-6
C06-12-1	C06-12
C06-12-2	C06-12
C06-12-3	C06-12
C06-16-2	C06-16
C06-16-3	C06-16
C06-16	C06-16
C06-6-1	C06-6
C06-6-2	C06-6
C06-6-3	C06-6
D07-12-1	D07-12
D07-12-2	D07-12
D07-12-3	D07-12
D07-16-2	D07-16
D07-16-3	D07-16
D07-16	D07-16
D07-6-1	D07-6
D07-6-2	D07-6
D07-6-3	D07-6
