Chr	site	LOD	name
virtual	1	NA	EcoRI_343_1
virtual	2	0.0233933	EcoRI_2460_1
virtual	3	0.666351	EcoRI_5019_1
virtual	4	0.666351	EcoRI_5019_2
virtual	5	1.04292	EcoRI_5635_1
virtual	6	NA	EcoRI_8098_1
virtual	7	NA	EcoRI_8098_2
virtual	8	NA	EcoRI_14546_1
virtual	9	NA	EcoRI_14546_2
virtual	10	NA	EcoRI_16541_1
virtual	11	NA	EcoRI_16541_2
virtual	12	0.604394	EcoRI_16948_1
virtual	13	NA	EcoRI_21930_1
virtual	14	NA	EcoRI_21930_2
virtual	15	0.0881023	EcoRI_28250_1
virtual	16	0.0881023	EcoRI_28250_2
virtual	17	1.42643	EcoRI_31097_1
virtual	18	0.165223	EcoRI_38690_1
virtual	19	0.165223	EcoRI_38690_2
virtual	20	0.960229	EcoRI_39083_1
virtual	21	0.960229	EcoRI_39083_2
virtual	22	0.120801	EcoRI_39126_1
virtual	23	0.120801	EcoRI_39126_2
virtual	24	0.581268	EcoRI_40574_1
virtual	25	NA	EcoRI_42527_1
virtual	26	NA	EcoRI_42527_2
virtual	27	0.117037	EcoRI_42651_1
virtual	28	0.117037	EcoRI_42651_2
virtual	29	NA	EcoRI_43308_1
virtual	30	0.86928	EcoRI_47909_1
virtual	31	0.367806	EcoRI_49071_1
virtual	32	0.196591	EcoRI_49072_1
virtual	33	0.196591	EcoRI_49072_2
virtual	34	0.13766	EcoRI_49309_1
virtual	35	NA	EcoRI_50668_1
virtual	36	NA	EcoRI_50730_1
virtual	37	NA	EcoRI_50730_2
virtual	38	0.553991	EcoRI_52046_1
virtual	39	0.553991	EcoRI_52046_2
virtual	40	0.0109731	EcoRI_52234_1
virtual	41	0.0109731	EcoRI_52234_2
virtual	42	NA	EcoRI_57039_1
virtual	43	NA	EcoRI_57106_1
virtual	44	0.256859	EcoRI_63124_1
virtual	45	NA	EcoRI_63920_1
virtual	46	0.123401	EcoRI_64139_1
virtual	47	NA	EcoRI_65472_1
virtual	48	NA	EcoRI_65472_2
virtual	49	NA	EcoRI_65847_1
virtual	50	NA	EcoRI_65847_2
virtual	51	0.4245	EcoRI_66257_1
virtual	52	0.0554186	EcoRI_66258_1
virtual	53	0.0554186	EcoRI_66258_2
virtual	54	NA	EcoRI_72381_1
virtual	55	NA	EcoRI_72381_2
virtual	56	0.0925671	EcoRI_74153_1
virtual	57	NA	EcoRI_76659_1
virtual	58	NA	EcoRI_76659_2
virtual	59	1.01995	EcoRI_79601_1
virtual	60	1.01995	EcoRI_79601_2
virtual	61	0.0235537	EcoRI_82129_1
virtual	62	0.0235537	EcoRI_82129_2
virtual	63	0.184648	EcoRI_82905_1
virtual	64	0.184648	EcoRI_82905_2
virtual	65	0.0391821	EcoRI_88360_1
virtual	66	0.0391821	EcoRI_88360_2
virtual	67	0.733463	EcoRI_89342_1
virtual	68	0.0604508	EcoRI_89755_1
virtual	69	0.533192	EcoRI_90369_1
virtual	70	0.533192	EcoRI_90369_2
virtual	71	0.174801	EcoRI_94582_1
virtual	72	0.371325	EcoRI_111597_1
virtual	73	0.371325	EcoRI_111597_2
virtual	74	0.917035	EcoRI_111712_1
virtual	75	0.278618	EcoRI_118369_1
virtual	76	0.278618	EcoRI_118369_2
virtual	77	NA	EcoRI_118733_1
virtual	78	0.272792	EcoRI_120841_1
virtual	79	NA	EcoRI_121608_1
virtual	80	NA	EcoRI_121608_2
virtual	81	0.43977	EcoRI_121655_1
virtual	82	0.075514	EcoRI_124663_1
virtual	83	1.08863	EcoRI_125118_1
virtual	84	1.08863	EcoRI_125118_2
virtual	85	NA	EcoRI_125337_1
virtual	86	NA	EcoRI_125337_2
virtual	87	0.0343844	EcoRI_128533_1
virtual	88	0.206594	EcoRI_129132_1
virtual	89	NA	EcoRI_129321_1
virtual	90	0.779264	EcoRI_130116_1
virtual	91	0.251471	EcoRI_130424_1
virtual	92	0.870149	EcoRI_132229_1
virtual	93	0.248313	EcoRI_139455_1
virtual	94	0.159668	EcoRI_141613_1
virtual	95	0.151743	EcoRI_142743_1
virtual	96	0.769602	EcoRI_145912_1
virtual	97	0.769602	EcoRI_145912_2
virtual	98	NA	EcoRI_147126_1
