Query	KO_ID
ENSG00000229063	K10785
ENSG00000211728	K10785
ENSG00000211786	K10784
ENSG00000211787	K10784
ENSG00000211731	K10785
ENSG00000211734	K10785
ENSG00000211752	K10785
ENSG00000211753	K10785
ENSG00000205274	K10785
ENSG00000256553	K10784
ENSG00000211751	K10785
ENSG00000211714	K10785
ENSG00000211715	K10785
ENSG00000211716	K10785
ENSG00000211717	K10785
ENSG00000232869	K10785
ENSG00000211798	K10784
ENSG00000211808	K10784
ENSG00000211720	K10785
ENSG00000211819	K10784
ENSG00000229769	K10785
ENSG00000183938	K10785
ENSG00000211793	K10784
ENSG00000230099	K10785
ENSG00000211725	K10785
ENSG00000211746	K10785
ENSG00000211747	K10785
ENSG00000211749	K10785
ENSG00000211750	K10785
ENSG00000211777	K10784
ENSG00000211782	K10784
ENSG00000211783	K10784
ENSG00000272532	K17712
ENSG00000280021	K04257
ENSG00000251608	K04257
ENSG00000262755	K04257
ENSG00000206474	K04257
ENSG00000243641	K04257
ENSG00000280090	K04257
ENSG00000249730	K04257
ENSG00000272987	K04257
ENSG00000205702	K17712
ENSG00000205702	K17712
ENSG00000205702	K17712
ENSG00000176510	K04257
ENSG00000221996	K04257
ENSG00000225997	K04257
ENSG00000172208	K04257
ENSG00000204702	K04257
ENSG00000279486	K04257
ENSG00000166473	K04988
ENSG00000166473	K04988
ENSG00000166473	K04988
ENSG00000166473	K04988
ENSG00000166473	K04988
ENSG00000166473	K04988
ENSG00000249948	K05350
ENSG00000249948	K05350
ENSG00000249948	K05350
ENSG00000279051	K04257
ENSG00000213439	K04257
ENSG00000273085	K04257
ENSG00000221957	K07982
ENSG00000221957	K07982
ENSG00000196383	K04257
ENSG00000278889	K04257
ENSG00000232535	K04257
ENSG00000211454	K15303
ENSG00000211454	K15303
ENSG00000211454	K15303
ENSG00000258806	K04257
ENSG00000261812	K07375
ENSG00000204403	K04741
ENSG00000204403	K04741
ENSG00000204403	K04741
ENSG00000204403	K04741
ENSG00000204403	K04741
ENSG00000204403	K04741
ENSG00000204403	K04741
ENSG00000204403	K04741
ENSG00000204403	K04741
ENSG00000204403	K04741
ENSG00000204403	K04741
ENSG00000213215	K04257
ENSG00000241356	K04257
ENSG00000164616	K10287
ENSG00000172459	K04257
ENSG00000263181	K17712
ENSG00000263181	K17712
ENSG00000211772	K10785
ENSG00000211899	K06856
ENSG00000211895	K06856
ENSG00000211891	K06856
ENSG00000211892	K06856
ENSG00000211893	K06856
ENSG00000211898	K06856
