id	group
PLEOSDRAFT_1098468	k
PLEOSDRAFT_1031339	k
PLEOSDRAFT_1080067	k
PLEOSDRAFT_1110163	k
PLEOSDRAFT_19514	k
PLEOSDRAFT_20823	k
PLEOSDRAFT_1087490	k
PLEOSDRAFT_1098479	k
PLEOSDRAFT_17401	k
PLEOSDRAFT_1018781	k
PLEOSDRAFT_1098482	k
PLEOSDRAFT_1080075	k
PLEOSDRAFT_1110166	k
PLEOSDRAFT_1098485	k
PLEOSDRAFT_1032088	k
PLEOSDRAFT_1098487	k
PLEOSDRAFT_1091124	k
PLEOSDRAFT_1073059	k
PLEOSDRAFT_1073060	k
PLEOSDRAFT_153825	k
PLEOSDRAFT_1095146	k
PLEOSDRAFT_165076	k
PLEOSDRAFT_165073	g
PLEOSDRAFT_153815	g
PLEOSDRAFT_153812	g
PLEOSDRAFT_1080092	g
PLEOSDRAFT_1069152	g
PLEOSDRAFT_1073064	g
PLEOSDRAFT_1031192	g
PLEOSDRAFT_1060326	g
PLEOSDRAFT_1033954	g
PLEOSDRAFT_153796	g
PLEOSDRAFT_165057	g
PLEOSDRAFT_1033008	g
PLEOSDRAFT_1098528	g
PLEOSDRAFT_1024855	g
PLEOSDRAFT_1080104	g
PLEOSDRAFT_1098530	g
PLEOSDRAFT_1080105	g
PLEOSDRAFT_153783	g
PLEOSDRAFT_1060331	g
PLEOSDRAFT_1098534	g
PLEOSDRAFT_1110177	g
PLEOSDRAFT_1087496	g
PLEOSDRAFT_1098537	g
