Query	KO_ID	KO_name,KO_definition	Hyperlink	Paths
Glyma.01G000400	K17604	ZSWIM3; zinc finger SWIM domain-containing protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K17604	_
Glyma.01G000600	K17604	ZSWIM3; zinc finger SWIM domain-containing protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K17604	_
Glyma.01G001300	K01853	CAS1; cycloartenol synthase [EC:5.4.99.8]	http://www.genome.jp/dbget-bin/www_bget?ko:K01853	ko00100;ko01100;ko01110
Glyma.01G001500	K01853	CAS1; cycloartenol synthase [EC:5.4.99.8]	http://www.genome.jp/dbget-bin/www_bget?ko:K01853	ko00100;ko01100;ko01110
Glyma.01G001600	K14554	UTP21, WDR36; U3 small nucleolar RNA-associated protein 21	http://www.genome.jp/dbget-bin/www_bget?ko:K14554	ko03008
Glyma.01G001800	K23880	RETREG; reticulophagy regulator	http://www.genome.jp/dbget-bin/www_bget?ko:K23880	_
Glyma.01G001900	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.01G002100	K14486	K14486, ARF; auxin response factor	http://www.genome.jp/dbget-bin/www_bget?ko:K14486	ko04075
Glyma.01G002400	K01047	PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]	http://www.genome.jp/dbget-bin/www_bget?ko:K01047	ko00564;ko00565;ko00590;ko00591;ko00592;ko01100;ko01110;ko04014;ko04270;ko04972;ko04975
Glyma.01G002800	K20359	RABAC1, PRAF1; PRA1 family protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K20359	_
Glyma.01G003200	K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	http://www.genome.jp/dbget-bin/www_bget?ko:K00677	ko00540;ko01100;ko01503
Glyma.01G003400	K23541	TMEM165, GDT1; Ca2+/H+ antiporter, TMEM165/GDT1 family	http://www.genome.jp/dbget-bin/www_bget?ko:K23541	_
Glyma.01G003500	K18266	NDRG1; protein NDRG1	http://www.genome.jp/dbget-bin/www_bget?ko:K18266	_
Glyma.01G003800	K11434	PRMT1; type I protein arginine methyltransferase [EC:2.1.1.319]	http://www.genome.jp/dbget-bin/www_bget?ko:K11434	ko04068;ko04922
Glyma.01G003900	K01762	ACS; 1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]	http://www.genome.jp/dbget-bin/www_bget?ko:K01762	ko00270;ko01100;ko01110
Glyma.01G004000	K01047	PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]	http://www.genome.jp/dbget-bin/www_bget?ko:K01047	ko00564;ko00565;ko00590;ko00591;ko00592;ko01100;ko01110;ko04014;ko04270;ko04972;ko04975
Glyma.01G004100	K19476	IST1; vacuolar protein sorting-associated protein IST1	http://www.genome.jp/dbget-bin/www_bget?ko:K19476	ko04144
Glyma.01G004200	K00588	E2.1.1.104; caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	http://www.genome.jp/dbget-bin/www_bget?ko:K00588	ko00940;ko00941;ko00945;ko01100;ko01110
Glyma.01G004300	K02910	RP-L31e, RPL31; large subunit ribosomal protein L31e	http://www.genome.jp/dbget-bin/www_bget?ko:K02910	ko03010
Glyma.01G004500	K12194	CHMP4, SNF7, VPS32; charged multivesicular body protein 4	http://www.genome.jp/dbget-bin/www_bget?ko:K12194	ko04144;ko04217
Glyma.01G004800	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04733	ko04010;ko04064;ko04620;ko04621;ko04624;ko04722;ko05130;ko05132;ko05133;ko05135;ko05140;ko05142;ko05145;ko05152;ko05161;ko05162;ko05164;ko05168;ko05169;ko05170
Glyma.01G004900	K09422	MYBP; transcription factor MYB, plant	http://www.genome.jp/dbget-bin/www_bget?ko:K09422	_
Glyma.01G005100	K00469	MIOX; inositol oxygenase [EC:1.13.99.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K00469	ko00053;ko00562;ko01100
