Chr	start	end	number
chr1	0	99999	1
chr1	100000	199999	3
chr1	800000	899999	2
chr1	1000000	1099999	2
chr1	1200000	1299999	1
chr1	1600000	1699999	2
chr1	1700000	1799999	1
chr1	1800000	1899999	1
chr1	2100000	2199999	1
chr1	2700000	2799999	1
chr1	2800000	2899999	3
chr1	3200000	3299999	1
chr1	3500000	3599999	1
chr1	3600000	3699999	1
chr1	3700000	3799999	1
chr1	3800000	3899999	1
chr1	4000000	4099999	2
chr1	4500000	4599999	1
chr1	4600000	4699999	1
chr1	4700000	4799999	1
chr1	5000000	5099999	1
chr1	5200000	5299999	3
chr1	5300000	5399999	1
chr1	5600000	5699999	1
chr1	5700000	5799999	1
chr1	6200000	6299999	4
chr1	6600000	6699999	1
chr1	6700000	6799999	5
chr1	7200000	7299999	1
chr1	7300000	7399999	1
chr1	8100000	8199999	1
chr1	8300000	8399999	1
chr1	8500000	8599999	1
chr1	8700000	8799999	1
chr1	8800000	8899999	2
chr1	9000000	9099999	2
chr1	9200000	9299999	1
chr1	9300000	9399999	1
chr1	9700000	9799999	2
chr1	9800000	9899999	1
chr1	10000000	10099999	1
chr1	10200000	10299999	2
chr1	10300000	10399999	1
chr1	10400000	10499999	2
chr1	10500000	10599999	1
chr1	10600000	10699999	1
chr1	10700000	10799999	1
chr1	10800000	10899999	4
chr1	10900000	10999999	2
chr1	11000000	11099999	1
chr1	11100000	11199999	1
chr1	11200000	11299999	1
chr1	11600000	11699999	2
chr1	11700000	11799999	4
chr1	11800000	11899999	1
chr1	12000000	12099999	2
chr1	12400000	12499999	2
chr1	12600000	12699999	2
chr1	12700000	12799999	3
chr1	12900000	12999999	1
chr1	13000000	13099999	2
chr1	13100000	13199999	1
chr1	13200000	13299999	2
chr1	13400000	13499999	1
chr1	13500000	13599999	1
chr1	14000000	14099999	1
chr1	14100000	14199999	2
chr1	14200000	14299999	2
chr1	14300000	14399999	2
chr1	14400000	14499999	1
chr1	14500000	14599999	2
chr1	14800000	14899999	2
chr1	14900000	14999999	1
chr1	15100000	15199999	1
chr1	15400000	15499999	1
chr1	15500000	15599999	1
chr1	15700000	15799999	1
chr1	15900000	15999999	4
chr1	16100000	16199999	1
chr1	16500000	16599999	2
chr1	16600000	16699999	1
chr1	16800000	16899999	1
chr1	16900000	16999999	1
chr1	17100000	17199999	2
chr1	17500000	17599999	1
chr1	17800000	17899999	1
chr1	17900000	17999999	3
chr1	18000000	18099999	1
chr1	18200000	18299999	2
chr1	18300000	18399999	1
chr1	18400000	18499999	1
chr1	18800000	18899999	1
chr1	19000000	19099999	1
chr1	19100000	19199999	1
chr1	19200000	19299999	1
chr1	19400000	19499999	1
chr1	19600000	19699999	1
chr1	19800000	19899999	4
chr1	20000000	20099999	1
chr1	20100000	20199999	1
chr1	20200000	20299999	2
chr1	20300000	20399999	1
chr1	20400000	20499999	1
chr1	20500000	20599999	1
chr1	20600000	20699999	2
chr1	20700000	20799999	1
chr1	20800000	20899999	1
chr1	20900000	20999999	2
chr1	21000000	21099999	1
chr1	21100000	21199999	2
chr1	21200000	21299999	3
chr1	21500000	21599999	1
chr1	21600000	21699999	5
chr1	21800000	21899999	1
chr1	22000000	22099999	1
chr1	22200000	22299999	1
chr1	22300000	22399999	1
chr1	22400000	22499999	1
chr1	22500000	22599999	2
chr1	22600000	22699999	1
chr1	22700000	22799999	1
chr1	22800000	22899999	2
chr1	23700000	23799999	2
chr1	23800000	23899999	1
chr1	23900000	23999999	2
chr1	24200000	24299999	1
chr1	24300000	24399999	1
chr1	24500000	24599999	2
chr1	24600000	24699999	1
chr1	24700000	24799999	2
chr1	24800000	24899999	2
chr1	25000000	25099999	1
chr1	25100000	25199999	1
chr1	25300000	25399999	1
chr1	25500000	25599999	1
chr1	25600000	25699999	1
chr1	25800000	25899999	1
chr1	25900000	25999999	1
chr1	26000000	26099999	1
chr1	26100000	26199999	2
chr1	26200000	26299999	1
chr1	26500000	26599999	3
chr1	26900000	26999999	2
chr1	27200000	27299999	1
chr1	27500000	27599999	2
chr1	27700000	27799999	2
chr1	27800000	27899999	1
chr1	27900000	27999999	1
chr1	28000000	28099999	1
chr1	28100000	28199999	1
chr1	28300000	28399999	1
chr1	28600000	28699999	2
chr1	28700000	28799999	5
chr1	28900000	28999999	4
chr1	29100000	29199999	3
chr1	29200000	29299999	1
chr1	29300000	29399999	2
chr1	29500000	29599999	3
chr1	29800000	29899999	1
chr1	30000000	30099999	1
chr1	30100000	30199999	1
chr1	30200000	30299999	1
chr1	30400000	30499999	2
chr1	30600000	30699999	1
chr1	30700000	30799999	3
chr1	30800000	30899999	2
chr1	31100000	31199999	1
chr1	31200000	31299999	1
chr1	31400000	31499999	2
chr1	31600000	31699999	2
chr1	31700000	31799999	1
chr2	0	99999	2
chr2	500000	599999	1
chr2	700000	799999	1
chr2	800000	899999	1
chr2	900000	999999	1
chr2	1000000	1099999	1
chr2	1100000	1199999	2
chr2	1500000	1599999	1
chr2	1700000	1799999	2
chr2	2000000	2099999	4
